"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"PRJNA356769b_ITS2_ASV149","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fabales","f__Fabaceae","g__Phaseolus","s__vulgaris"
"PRJNA356769b_ITS2_ASV152","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Petroselinum","s__crispum"
"PRJNA356769b_ITS2_ASV157","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Aegilops","s__comosa"
"PRJNA356769b_ITS2_ASV158","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__rapa"
"PRJNA356769b_ITS2_ASV160","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Lamiales","f__Lamiaceae","g__Ocimum","s__basilicum"
"PRJNA356769b_ITS2_ASV168","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Cenchrus","s__americanus"
"PRJNA356769b_ITS2_ASV169","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fagales","f__Fagaceae","g__Quercus",NA
"PRJNA356769b_ITS2_ASV18","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Carum",NA
"PRJNA356769b_ITS2_ASV180","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Convolvulaceae","g__Ipomoea","s__aquatica"
"PRJNA356769b_ITS2_ASV182","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Triticum","s__aestivum"
"PRJNA356769b_ITS2_ASV185","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Apium","s__commersonii"
"PRJNA356769b_ITS2_ASV188","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucurbita","s__pepo"
"PRJNA356769b_ITS2_ASV191","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucurbita",NA
"PRJNA356769b_ITS2_ASV192","k__Viridiplantae","p__Anthophyta",NA,NA,NA,NA,NA
"PRJNA356769b_ITS2_ASV197","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Bromus","s__inermis"
"PRJNA356769b_ITS2_ASV199","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae",NA,NA
"PRJNA356769b_ITS2_ASV205","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Myrtales","f__Onagraceae","g__Oenothera","s__laciniata"
"PRJNA356769b_ITS2_ASV206","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae",NA,NA,NA,NA
"PRJNA356769b_ITS2_ASV210","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Lamiales","f__Pedaliaceae","g__Sesamum","s__indicum"
"PRJNA356769b_ITS2_ASV218","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucumis","s__sativus"
"PRJNA356769b_ITS2_ASV220","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Rosaceae","g__Prunus","s__persica"
"PRJNA356769b_ITS2_ASV223","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fagales","f__Juglandaceae","g__Juglans","s__hopeiensis"
"PRJNA356769b_ITS2_ASV224","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucumis","s__melo"
"PRJNA356769b_ITS2_ASV226","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Rosaceae","g__Prunus","s__persica"
"PRJNA356769b_ITS2_ASV227","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Caryophyllales","f__Amaranthaceae","g__Spinacia","s__oleracea"
"PRJNA356769b_ITS2_ASV821","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Sapindales","f__Anacardiaceae","g__Mangifera","s__indica"
"PRJNA356769b_ITS2_ASV232","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Sinapis","s__alba"
"PRJNA356769b_ITS2_ASV240","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucurbita","s__pepo"
"PRJNA356769b_ITS2_ASV248","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucurbita",NA
"PRJNA356769b_ITS2_ASV250","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__rapa"
"PRJNA356769b_ITS2_ASV278","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Bambusa","s__nutans"
"PRJNA356769b_ITS2_ASV298","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fabales","f__Fabaceae","g__Cicer","s__arietinum"
"PRJNA356769b_ITS2_ASV301","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Poaceae_gen_Incertae_sedis",NA
"PRJNA356769b_ITS2_ASV304","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Rosaceae","g__Prunus","s__persica"
"PRJNA356769b_ITS2_ASV31","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Carum","s__proliferum"
"PRJNA356769b_ITS2_ASV316","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Thinopyrum","s__junceiforme"
"PRJNA356769b_ITS2_ASV325","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucurbita","s__pepo"
"PRJNA356769b_ITS2_ASV346","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__oleracea"
"PRJNA356769b_ITS2_ASV347","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Cuminum","s__cyminum"
"PRJNA356769b_ITS2_ASV349","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucurbitaceae_gen_Incertae_sedis",NA
"PRJNA356769b_ITS2_ASV361","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Sapindales","f__Anacardiaceae","g__Pistacia",NA
"PRJNA356769b_ITS2_ASV362","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Sapindales","f__Rutaceae","g__Citrus","s__maxima"
"PRJNA356769b_ITS2_ASV365","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucurbita","s__pepo"
"PRJNA356769b_ITS2_ASV368","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Malpighiales","f__Linaceae","g__Linum","s__monogynum"
"PRJNA356769b_ITS2_ASV373","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Ericales","f__Ericaceae","g__Vaccinium","s__hirsutum"
"PRJNA356769b_ITS2_ASV394","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Rosaceae","g__Prunus","s__persica"
"PRJNA356769b_ITS2_ASV410","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Rosaceae","g__Prunus","s__sunhangii"
"PRJNA356769b_ITS2_ASV414","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Anethum",NA
"PRJNA356769b_ITS2_ASV417","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucurbita","s__pepo"
"PRJNA356769b_ITS2_ASV485","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Caryophyllales","f__Amaranthaceae","g__Beta","s__macrocarpa"
"PRJNA356769b_ITS2_ASV423","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fabales","f__Fabaceae","g__Medicago",NA
"PRJNA356769b_ITS2_ASV428","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Sapindales","f__Rutaceae","g__Citrus","s__japonica"
"PRJNA356769b_ITS2_ASV429","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fagales","f__Betulaceae","g__Corylus","s__ferox"
"PRJNA356769b_ITS2_ASV436","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Asterales","f__Asteraceae","g__Lactuca","s__saligna"
"PRJNA356769b_ITS2_ASV441","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Solanaceae","g__Solanum","s__tuberosum"
"PRJNA356769b_ITS2_ASV453","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fabales","f__Fabaceae","g__Vicia","s__faba"
"PRJNA356769b_ITS2_ASV456","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Proteales","f__Proteaceae","g__Macadamia","s__integrifolia"
"PRJNA356769b_ITS2_ASV457","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Coriandrum","s__sativum"
"PRJNA356769b_ITS2_ASV460","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fabales","f__Fabaceae",NA,NA
"PRJNA356769b_ITS2_ASV487","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Sapindales","f__Anacardiaceae","g__Pistacia","s__chinensis"
"PRJNA356769b_ITS2_ASV491","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__juncea"
"PRJNA356769b_ITS2_ASV50","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Zea","s__perennis"
"PRJNA356769b_ITS2_ASV509","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Lolium",NA
"PRJNA356769b_ITS2_ASV513","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Poaceae_gen_Incertae_sedis",NA
"PRJNA356769b_ITS2_ASV517","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Lamiales","f__Lamiaceae","g__Lamiaceae_gen_Incertae_sedis",NA
"PRJNA356769b_ITS2_ASV526","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__rapa"
"PRJNA356769b_ITS2_ASV547","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Pimpinella","s__olivieri"
"PRJNA356769b_ITS2_ASV552","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Rosaceae","g__Rubus",NA
"PRJNA356769b_ITS2_ASV571","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__rapa"
"PRJNA356769b_ITS2_ASV576","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Caryophyllales","f__Amaranthaceae","g__Amaranthus","s__watsonii"
"PRJNA356769b_ITS2_ASV584","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Rosaceae","g__Fragaria","s__vesca"
"PRJNA356769b_ITS2_ASV617","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucumis","s__sativus"
"PRJNA356769b_ITS2_ASV622","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucurbita","s__pepo"
"PRJNA356769b_ITS2_ASV628","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Rosaceae","g__Rubus","s__rhamnifolius"
"PRJNA356769b_ITS2_ASV634","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Asterales","f__Asteraceae","g__Calyptocarpus","s__vialis"
"PRJNA356769b_ITS2_ASV646","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Asparagales","f__Asparagaceae","g__Asparagus","s__persicus"
"PRJNA356769b_ITS2_ASV667","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Eruca","s__vesicaria"
"PRJNA356769b_ITS2_ASV668","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucumis","s__sativus"
"PRJNA356769b_ITS2_ASV669","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Lamiales","f__Oleaceae","g__Fraxinus",NA
"PRJNA356769b_ITS2_ASV798","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Asterales","f__Asteraceae","g__Arnoseris","s__minima"
"PRJNA356769b_ITS2_ASV692","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fagales","f__Juglandaceae","g__Carya",NA
"PRJNA356769b_ITS2_ASV696","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Convolvulaceae","g__Convolvulus","s__arvensis"
"PRJNA356769b_ITS2_ASV716","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Convolvulaceae","g__Ipomoea","s__lactifera"
"PRJNA356769b_ITS2_ASV72","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__rapa"
"PRJNA356769b_ITS2_ASV720","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Solanaceae","g__Solanum","s__tuberosum"
"PRJNA356769b_ITS2_ASV723","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Asterales","f__Asteraceae","g__Erigeron","s__humilis"
"PRJNA356769b_ITS2_ASV73","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Cardamine","s__maritima"
"PRJNA356769b_ITS2_ASV736","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__rapa"
"PRJNA356769b_ITS2_ASV742","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Raphanus","s__sativus"
"PRJNA356769b_ITS2_ASV744","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Myrtales","f__Myrtaceae","g__Psidium","s__guajava"
"PRJNA356769b_ITS2_ASV749","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Solanaceae","g__Solanum",NA
"PRJNA356769b_ITS2_ASV752","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Malvales","f__Malvaceae","g__Corchorus","s__olitorius"
"PRJNA356769b_ITS2_ASV754","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Caryophyllales","f__Amaranthaceae","g__Bassia","s__scoparia"
"PRJNA356769b_ITS2_ASV757","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Panicum",NA
"PRJNA356769b_ITS2_ASV772","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucurbita",NA
"PRJNA356769b_ITS2_ASV774","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae",NA,NA
"PRJNA356769b_ITS2_ASV775","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Diplotaxis","s__tenuifolia"
"PRJNA356769b_ITS2_ASV784","k__Viridiplantae","p__Anthophyta","c__Anthophyta_cls_Incertae_sedis","o__Anthophyta_ord_Incertae_sedis","f__Anthophyta_fam_Incertae_sedis","g__Anthophyta_gen_Incertae_sedis",NA
"PRJNA356769b_ITS2_ASV792","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Cyclospermum","s__leptophyllum"
"PRJNA356769b_ITS2_ASV794","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fabales","f__Fabaceae","g__Glycine","s__soja"
"PRJNA356769b_ITS2_ASV796","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__rapa"
"PRJNA356769b_ITS2_ASV799","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__rapa"
"PRJNA356769b_ITS2_ASV80","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fabales","f__Fabaceae","g__Phaseolus","s__coccineus"
"PRJNA356769b_ITS2_ASV801","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae",NA,NA
"PRJNA356769b_ITS2_ASV812","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucurbita","s__pepo"
"PRJNA356769b_ITS2_ASV822","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__rapa"
"PRJNA356769b_ITS2_ASV828","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Caryophyllales","f__Cactaceae",NA,NA
"PRJNA356769b_ITS2_ASV83","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Lamiales","f__Pedaliaceae","g__Sesamum","s__indicum"
"PRJNA356769b_ITS2_ASV833","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Asterales","f__Asteraceae","g__Simsia",NA
"PRJNA356769b_ITS2_ASV836","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Caryophyllales","f__Amaranthaceae","g__Spinacia","s__oleracea"
"PRJNA356769b_ITS2_ASV842","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Cannabaceae","g__Celtis","s__jamaicensis"
"PRJNA356769b_ITS2_ASV85","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Lamiales","f__Lamiaceae","g__Ocimum","s__basilicum"
"PRJNA356769b_ITS2_ASV863","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__rapa"
"PRJNA356769b_ITS2_ASV87","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Caryophyllales","f__Amaranthaceae","g__Salsola","s__praecox"
"PRJNA356769b_ITS2_ASV870","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Caryophyllales","f__Amaranthaceae","g__Chenopodium","s__acerifolium"
"PRJNA356769b_ITS2_ASV874","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Solanaceae","g__Solanaceae_gen_Incertae_sedis",NA
"PRJNA356769b_ITS2_ASV883","k__Viridiplantae","p__Chlorophyta","c__Chlorophyceae","o__Sphaeropleales","f__Scenedesmaceae","g__Desmodesmus","s__ultrasquamatus"
"PRJNA356769b_ITS2_ASV89","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae",NA,NA
"PRJNA356769b_ITS2_ASV893","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Myrtales","f__Myrtaceae","g__Eucalyptus",NA
"PRJNA356769b_ITS2_ASV9","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fabales","f__Fabaceae","g__Lens","s__culinaris"
"PRJNA356769b_ITS2_ASV902","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fabales","f__Fabaceae","g__Trifolium","s__subsp._petrisavii"
"PRJNA356769b_ITS2_ASV908","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Rosaceae","g__Rubus","s__rhamnifolius"
"PRJNA356769b_ITS2_ASV925","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Zingiberales","f__Musaceae","g__Musa","s__acuminata"
"PRJNA356769b_ITS2_ASV939","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Sapindales","f__Rutaceae","g__Citrus","s__maxima"
"PRJNA356769b_ITS2_ASV950","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica",NA
"PRJNA356769b_ITS2_ASV954","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Setaria",NA
"PRJNA356769b_ITS2_ASV96","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__rapa"
"PRJNA356769b_ITS2_ASV977","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fabales","f__Fabaceae","g__Phaseolus","s__lunatus"
"PRJNA356769b_ITS2_ASV979","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Asparagales","f__Asparagaceae","g__Asparagus","s__persicus"
"PRJNA356769b_ITS2_ASV980","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__insularis"
"PRJNA356769b_ITS2_ASV983","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Asterales","f__Asteraceae","g__Ambrosia","s__artemisiifolia"
"PRJNA356769b_ITS2_ASV987","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae",NA,NA
"PRJNA356769b_ITS2_ASV989","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Ulmaceae","g__Ulmus","s__pumila"
"PRJNA356769b_ITS2_ASV991","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Rosaceae","g__Prunus",NA
"PRJNA356769b_ITS2_ASV992","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__rapa"
"PRJNA356769b_ITS2_ASV994","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica",NA
