"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"PRJNA356769a_ITS2_ASV145","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Cladosporiales","f__Cladosporiaceae","g__Cladosporium",NA
"PRJNA356769a_ITS2_ASV146","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Kazachstania","s__servazzii"
"PRJNA356769a_ITS2_ASV15","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__versicolor"
"PRJNA356769a_ITS2_ASV152","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia","s__globosa"
"PRJNA356769a_ITS2_ASV156","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__ruber"
"PRJNA356769a_ITS2_ASV159","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__dubliniensis"
"PRJNA356769a_ITS2_ASV16","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Zygosaccharomyces","s__bisporus"
"PRJNA356769a_ITS2_ASV160","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__glabripes"
"PRJNA356769a_ITS2_ASV161","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Didymella",NA
"PRJNA356769a_ITS2_ASV166","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Exophiala","s__xenobiotica"
"PRJNA356769a_ITS2_ASV167","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Talaromyces","s__rugulosus"
"PRJNA356769a_ITS2_ASV169","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__niger"
"PRJNA356769a_ITS2_ASV17","k__Fungi","p__Basidiomycota","c__Wallemiomycetes","o__Wallemiales","f__Wallemiaceae","g__Wallemia","s__sebi"
"PRJNA356769a_ITS2_ASV171","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Chaetothyriales_fam_Incertae_sedis","g__Sarcinomyces",NA
"PRJNA356769a_ITS2_ASV173","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","s__phyllophilum"
"PRJNA356769a_ITS2_ASV175","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Pichiaceae","g__Pichia","s__membranifaciens"
"PRJNA356769a_ITS2_ASV181","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Elsinoaceae","g__Elsinoe",NA
"PRJNA356769a_ITS2_ASV182","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__polonicum"
"PRJNA356769a_ITS2_ASV184","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia",NA
"PRJNA356769a_ITS2_ASV187","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__sake"
"PRJNA356769a_ITS2_ASV188","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae","g__Stenocarpella","s__maydis"
"PRJNA356769a_ITS2_ASV55","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Zasmidium",NA
"PRJNA356769a_ITS2_ASV191","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Talaromyces",NA
"PRJNA356769a_ITS2_ASV24","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycodaceae","g__Hanseniaspora","s__valbyensis"
"PRJNA356769a_ITS2_ASV29","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","s__asiaticum"
"PRJNA356769a_ITS2_ASV3","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","s__solani"
"PRJNA356769a_ITS2_ASV33","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__Acremonium","s__fusidioides"
"PRJNA356769a_ITS2_ASV46","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__clavatophorus"
"PRJNA356769a_ITS2_ASV47","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Nakaseomyces","s__glabratus"
"PRJNA356769a_ITS2_ASV5","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Tubeufiales","f__Wiesneriomycetaceae","g__Spissiomyces",NA
"PRJNA356769a_ITS2_ASV60","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium",NA
"PRJNA356769a_ITS2_ASV65","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"PRJNA356769a_ITS2_ASV7","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__rugulosus"
"PRJNA356769a_ITS2_ASV73","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia","s__arunalokei"
"PRJNA356769a_ITS2_ASV75","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Sarocladiaceae","g__Sarocladium","s__bifurcatum"
"PRJNA356769a_ITS2_ASV8","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycodaceae","g__Saccharomycodes","s__ludwigii"
"PRJNA356769a_ITS2_ASV88","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Pichiaceae","g__Pichia","s__mandshurica"
"PRJNA356769a_ITS2_ASV91","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia",NA
"PRJNA356769a_ITS2_ASV93","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__restrictus"
