"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"PRJNA356769_ITS2_ASV136","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiales","f__Cystobasidiaceae","g__Cystobasidium",NA
"PRJNA356769_ITS2_ASV137","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__inflatus"
"PRJNA356769_ITS2_ASV139","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Bulbithecium","s__pinkertoniae"
"PRJNA356769_ITS2_ASV141","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__pullulans"
"PRJNA356769_ITS2_ASV142","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Phaffomycetaceae","g__Starmera","s__stellimalicola"
"PRJNA356769_ITS2_ASV144","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Neodevriesiaceae","g__Neodevriesia","s__strelitziicola"
"PRJNA356769_ITS2_ASV145","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Aplosporellaceae","g__Aplosporella","s__thailandica"
"PRJNA356769_ITS2_ASV146","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Limtongozyma","s__cylindracea"
"PRJNA356769_ITS2_ASV148","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Cladosporiales","f__Cladosporiaceae","g__Cladosporium",NA
"PRJNA356769_ITS2_ASV149","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","g__Knufia","s__hypolithi"
"PRJNA356769_ITS2_ASV15","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium",NA
"PRJNA356769_ITS2_ASV151","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Curvularia","s__lunata"
"PRJNA356769_ITS2_ASV157","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Sarocladiaceae","g__Sarocladium","s__kiliense"
"PRJNA356769_ITS2_ASV158","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Pichiaceae","g__Pichia","s__mandshurica"
"PRJNA356769_ITS2_ASV159","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__foliicola"
"PRJNA356769_ITS2_ASV16","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellales_fam_Incertae_sedis","g__Neohortaea","s__acidophila"
"PRJNA356769_ITS2_ASV160","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Kluyveromyces","s__lactis"
"PRJNA356769_ITS2_ASV162","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales",NA,NA,NA
"PRJNA356769_ITS2_ASV165","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetales_fam_Incertae_sedis","g__Skvortzovia","s__furfuracea"
"PRJNA356769_ITS2_ASV167","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthomycetidae_ord_Incertae_sedis","f__Thyridiaceae","g__Thyridium","s__oculorum"
"PRJNA356769_ITS2_ASV168","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","g__Cystofilobasidium","s__infirmominiatum"
"PRJNA356769_ITS2_ASV17","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Sporobolomyces","s__ruberrimus"
"PRJNA356769_ITS2_ASV170","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria","s__ampeli"
"PRJNA356769_ITS2_ASV171","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"PRJNA356769_ITS2_ASV179","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__tephrensis"
"PRJNA356769_ITS2_ASV18","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Stachybotryaceae","g__Myxospora",NA
"PRJNA356769_ITS2_ASV182","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Cephaloascaceae","g__Cephaloascus","s__fragrans"
"PRJNA356769_ITS2_ASV184","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Trichomonascaceae","g__Blastobotrys","s__attinorum"
"PRJNA356769_ITS2_ASV185","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Pichiaceae","g__Pichia","s__fermentans"
"PRJNA356769_ITS2_ASV187","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__keratitidis"
"PRJNA356769_ITS2_ASV188","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium",NA
"PRJNA356769_ITS2_ASV194","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Rhodosporidiobolus","s__oreadorum"
"PRJNA356769_ITS2_ASV196","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","g__Cystofilobasidium","s__capitatum"
"PRJNA356769_ITS2_ASV198","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Bombardiaceae","g__Ramophialophora",NA
"PRJNA356769_ITS2_ASV199","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Ascobolaceae","g__Ascobolus",NA
"PRJNA356769_ITS2_ASV20","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Hyphopichia","s__burtonii"
"PRJNA356769_ITS2_ASV200","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Symmetrosporaceae","g__Symmetrospora","s__pseudomarina"
"PRJNA356769_ITS2_ASV202","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Talaromyces","s__radicus"
"PRJNA356769_ITS2_ASV203","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus",NA
"PRJNA356769_ITS2_ASV210","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Cladosporiales","f__Cladosporiaceae","g__Cladosporium",NA
"PRJNA356769_ITS2_ASV212","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Rhodotorula","s__mucilaginosa"
"PRJNA356769_ITS2_ASV213","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__unguis"
"PRJNA356769_ITS2_ASV214","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Cladosporiales","f__Cladosporiaceae","g__Cladosporium","s__cladosporioides"
"PRJNA356769_ITS2_ASV215","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Trichomonascaceae","g__Wickerhamiella","s__pararugosa"
"PRJNA356769_ITS2_ASV552","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Trichosporonaceae","g__Cutaneotrichosporon","s__jirovecii"
"PRJNA356769_ITS2_ASV218","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Sagenomella","s__oligospora"
"PRJNA356769_ITS2_ASV22","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Didymocyrtis","s__pini"
"PRJNA356769_ITS2_ASV221","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Myxotrichaceae","g__Oidiodendron","s__cereale"
"PRJNA356769_ITS2_ASV222","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Allophoma","s__tropica"
"PRJNA356769_ITS2_ASV223","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Rhodotorula","s__taiwanensis"
"PRJNA356769_ITS2_ASV225","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Myxotrichaceae","g__Oidiodendron",NA
"PRJNA356769_ITS2_ASV226","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Thermoascaceae","g__Paecilomyces","s__variotii"
"PRJNA356769_ITS2_ASV228","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Sporobolomyces","s__reniformis"
"PRJNA356769_ITS2_ASV23","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Cladosporiales","f__Cladosporiaceae","g__Cladosporium","s__cladosporioides"
"PRJNA356769_ITS2_ASV230","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Plectosphaerellaceae","g__Stachylidium","s__bicolor"
"PRJNA356769_ITS2_ASV231","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__fluviserpens"
"PRJNA356769_ITS2_ASV234","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae",NA,NA
"PRJNA356769_ITS2_ASV235","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Phaffomycetaceae","g__Wickerhamomyces","s__anomalus"
"PRJNA356769_ITS2_ASV237","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__tardicrescens"
"PRJNA356769_ITS2_ASV548","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium",NA
"PRJNA356769_ITS2_ASV24","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Cryptococcaceae","g__Cryptococcus","s__neoformans"
"PRJNA356769_ITS2_ASV240","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Myxotrichaceae",NA,NA
"PRJNA356769_ITS2_ASV245","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","s__albida"
"PRJNA356769_ITS2_ASV246","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Debaryomycetaceae","g__Debaryomycetaceae_gen_Incertae_sedis",NA
"PRJNA356769_ITS2_ASV250","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales",NA,NA,NA
"PRJNA356769_ITS2_ASV252","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthomycetidae_ord_Incertae_sedis","f__Thyridiaceae","g__Thyridium","s__curvatum"
"PRJNA356769_ITS2_ASV253","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Scytalidium",NA
"PRJNA356769_ITS2_ASV255","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Torulaceae","g__Torula","s__fici"
"PRJNA356769_ITS2_ASV257","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Talaromyces","s__tiftonensis"
"PRJNA356769_ITS2_ASV263","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"PRJNA356769_ITS2_ASV268","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Myxotrichaceae",NA,NA
"PRJNA356769_ITS2_ASV269","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Coniocessiaceae","g__Coniocessia","s__minima"
"PRJNA356769_ITS2_ASV274","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae","g__Ceratobasidium","s__ramicola"
"PRJNA356769_ITS2_ASV275","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","g__Engyodontium","s__album"
"PRJNA356769_ITS2_ASV276","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__ruber"
"PRJNA356769_ITS2_ASV277","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariaceae","g__Ascotricha","s__chartarum"
"PRJNA356769_ITS2_ASV279","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","s__asiaticum"
"PRJNA356769_ITS2_ASV28","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__piperis"
"PRJNA356769_ITS2_ASV280","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Hydnaceae","g__Sistotrema","s__brinkmannii"
