"","PRJNA356769a_ITS2_ASV1","PRJNA356769a_ITS2_ASV10","PRJNA356769a_ITS2_ASV100","PRJNA356769a_ITS2_ASV101","PRJNA356769a_ITS2_ASV102","PRJNA356769a_ITS2_ASV103","PRJNA356769a_ITS2_ASV104","PRJNA356769a_ITS2_ASV21","PRJNA356769a_ITS2_ASV106","PRJNA356769a_ITS2_ASV107","PRJNA356769a_ITS2_ASV108","PRJNA356769a_ITS2_ASV109","PRJNA356769a_ITS2_ASV11","PRJNA356769a_ITS2_ASV110","PRJNA356769a_ITS2_ASV111","PRJNA356769a_ITS2_ASV112","PRJNA356769a_ITS2_ASV113","PRJNA356769a_ITS2_ASV114","PRJNA356769a_ITS2_ASV115","PRJNA356769a_ITS2_ASV116","PRJNA356769a_ITS2_ASV117","PRJNA356769a_ITS2_ASV118","PRJNA356769a_ITS2_ASV119","PRJNA356769a_ITS2_ASV12","PRJNA356769a_ITS2_ASV120","PRJNA356769a_ITS2_ASV121","PRJNA356769a_ITS2_ASV122","PRJNA356769a_ITS2_ASV123","PRJNA356769a_ITS2_ASV124","PRJNA356769a_ITS2_ASV125","PRJNA356769a_ITS2_ASV126","PRJNA356769a_ITS2_ASV127","PRJNA356769a_ITS2_ASV128","PRJNA356769a_ITS2_ASV129","PRJNA356769a_ITS2_ASV13","PRJNA356769a_ITS2_ASV131","PRJNA356769a_ITS2_ASV132","PRJNA356769a_ITS2_ASV133","PRJNA356769a_ITS2_ASV134","PRJNA356769a_ITS2_ASV135","PRJNA356769a_ITS2_ASV136","PRJNA356769a_ITS2_ASV137","PRJNA356769a_ITS2_ASV138","PRJNA356769a_ITS2_ASV139","PRJNA356769a_ITS2_ASV157","PRJNA356769a_ITS2_ASV140","PRJNA356769a_ITS2_ASV141","PRJNA356769a_ITS2_ASV142","PRJNA356769a_ITS2_ASV143","PRJNA356769a_ITS2_ASV144","PRJNA356769a_ITS2_ASV145","PRJNA356769a_ITS2_ASV146","PRJNA356769a_ITS2_ASV147","PRJNA356769a_ITS2_ASV15","PRJNA356769a_ITS2_ASV151","PRJNA356769a_ITS2_ASV152","PRJNA356769a_ITS2_ASV155","PRJNA356769a_ITS2_ASV156","PRJNA356769a_ITS2_ASV159","PRJNA356769a_ITS2_ASV16","PRJNA356769a_ITS2_ASV160","PRJNA356769a_ITS2_ASV161","PRJNA356769a_ITS2_ASV162","PRJNA356769a_ITS2_ASV163","PRJNA356769a_ITS2_ASV164","PRJNA356769a_ITS2_ASV165","PRJNA356769a_ITS2_ASV166","PRJNA356769a_ITS2_ASV167","PRJNA356769a_ITS2_ASV168","PRJNA356769a_ITS2_ASV169","PRJNA356769a_ITS2_ASV17","PRJNA356769a_ITS2_ASV171","PRJNA356769a_ITS2_ASV173","PRJNA356769a_ITS2_ASV82","PRJNA356769a_ITS2_ASV175","PRJNA356769a_ITS2_ASV176","PRJNA356769a_ITS2_ASV177","PRJNA356769a_ITS2_ASV18","PRJNA356769a_ITS2_ASV180","PRJNA356769a_ITS2_ASV181","PRJNA356769a_ITS2_ASV182","PRJNA356769a_ITS2_ASV183","PRJNA356769a_ITS2_ASV184","PRJNA356769a_ITS2_ASV185","PRJNA356769a_ITS2_ASV186","PRJNA356769a_ITS2_ASV187","PRJNA356769a_ITS2_ASV188","PRJNA356769a_ITS2_ASV55","PRJNA356769a_ITS2_ASV19","PRJNA356769a_ITS2_ASV191","PRJNA356769a_ITS2_ASV192","PRJNA356769a_ITS2_ASV194","PRJNA356769a_ITS2_ASV195","PRJNA356769a_ITS2_ASV2","PRJNA356769a_ITS2_ASV20","PRJNA356769a_ITS2_ASV22","PRJNA356769a_ITS2_ASV24","PRJNA356769a_ITS2_ASV27","PRJNA356769a_ITS2_ASV28","PRJNA356769a_ITS2_ASV29","PRJNA356769a_ITS2_ASV3","PRJNA356769a_ITS2_ASV30","PRJNA356769a_ITS2_ASV32","PRJNA356769a_ITS2_ASV33","PRJNA356769a_ITS2_ASV37","PRJNA356769a_ITS2_ASV38","PRJNA356769a_ITS2_ASV39","PRJNA356769a_ITS2_ASV4","PRJNA356769a_ITS2_ASV41","PRJNA356769a_ITS2_ASV42","PRJNA356769a_ITS2_ASV46","PRJNA356769a_ITS2_ASV47","PRJNA356769a_ITS2_ASV5","PRJNA356769a_ITS2_ASV51","PRJNA356769a_ITS2_ASV52","PRJNA356769a_ITS2_ASV54","PRJNA356769a_ITS2_ASV58","PRJNA356769a_ITS2_ASV59","PRJNA356769a_ITS2_ASV6","PRJNA356769a_ITS2_ASV60","PRJNA356769a_ITS2_ASV63","PRJNA356769a_ITS2_ASV64","PRJNA356769a_ITS2_ASV65","PRJNA356769a_ITS2_ASV66","PRJNA356769a_ITS2_ASV69","PRJNA356769a_ITS2_ASV7","PRJNA356769a_ITS2_ASV70","PRJNA356769a_ITS2_ASV71","PRJNA356769a_ITS2_ASV73","PRJNA356769a_ITS2_ASV75","PRJNA356769a_ITS2_ASV76","PRJNA356769a_ITS2_ASV78","PRJNA356769a_ITS2_ASV8","PRJNA356769a_ITS2_ASV83","PRJNA356769a_ITS2_ASV86","PRJNA356769a_ITS2_ASV87","PRJNA356769a_ITS2_ASV88","PRJNA356769a_ITS2_ASV9","PRJNA356769a_ITS2_ASV91","PRJNA356769a_ITS2_ASV93","PRJNA356769a_ITS2_ASV95","PRJNA356769a_ITS2_ASV96","PRJNA356769a_ITS2_ASV98","PRJNA356769a_ITS2_ASV99"
"SRR5098474",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2204,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098491",6,0,0,140,0,0,0,554,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041,1343,0,2573,0,0,0,0,0,1353,0,0,165,232,0,789,0,0,0,0,372,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,191,0,158,0,0,0,2012,0,0,153,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,106,193,97,0,331,0
"SRR5098511",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,26,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098515",0,0,0,0,77,0,0,0,0,63,0,0,0,0,0,0,0,0,1366,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1262,0,856,1401,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,273,0,0,120,0,0,0,0,0,476,0,0,0,0,0,0,436,0,0,0,0,0,1817,0,0,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098524",0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0,0,0,1388,0,0,0,0,0,0,15,0,0,0,0,0,0,2272,0,0,11593,375,0,1221,0,0,0,0,391,0,715,0,0,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,0,0,0,0,0,0,0,0,737,0,0,0,0,0,0,0,0,0
"SRR5098533",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694,0,0,0,0,0,0,619,0,0,0,592,0,11129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098588",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,0,0,0,0,0,0,64,0,474,0,0,0,0,8559,0,0,0,0,0,0,0,0,274,0,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1581,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0
"SRR5098686",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0,0,503,0,0,0,0,0,462,0,0,0,0,0,0,0,7797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963,0,0,0,0,0,0,0,0,0
"SRR5098703",0,0,1927,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,0,0,608,0,0,0,0,0,0,0,0,0,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2265,0,0,0,0,0,0,0,0,0,0,0,0,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098712",0,0,0,0,0,0,245,0,1067,0,360,0,317,0,0,0,0,0,2157,0,0,0,0,0,0,0,0,0,0,0,0,424,0,0,0,0,0,103,0,0,0,916,0,0,14039,0,0,672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,0,0,0,0,0,0,0,0,0,164,0,5198,0,0,0,0,0,0,1098,117,539,0,17384,0,0,0,0,0,0,0,0,216,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,0,0,0,0,0,0,0,0,0
"SRR5098725",594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098735",19002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,38,38,0,0,0,0,0,0,28,28,0,0,0,0,0,20,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,112,0,0,0,0,0,0,0,81
"SRR5098741",0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2474,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098748",0,171,0,0,0,0,0,0,0,0,62,57,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50901,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,149,0,144,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0
