qseqid	sseqid	pident	length	qcovs	mismatch	gapopen	qlen	qstart	qend	slen	sstart	send	sstrand	evalue	bitscore
PRJNA356769_ITS2_ASV3	gITS7_2_fwd	89.474	19	5	2	0	422	35	53	19	1	19	plus	2.66e-04	30.2
PRJNA356769_ITS2_ASV3	LR0B_2_rev	100.000	14	3	0	0	422	392	405	19	19	6	minus	0.001	28.2
PRJNA356769_ITS2_ASV5	ITS86F_2_fwd	100.000	21	7	0	0	298	35	55	21	1	21	plus	4.90e-08	42.1
PRJNA356769_ITS2_ASV5	LR0B_2_rev	100.000	19	6	0	0	298	268	286	19	19	1	minus	7.64e-07	38.2
PRJNA356769_ITS2_ASV5	fITS7_2_fwd	94.737	19	6	1	0	298	35	53	19	1	19	plus	1.19e-05	34.2
PRJNA356769_ITS2_ASV5	fITS7R_1_rev	94.737	19	6	1	0	298	35	53	19	19	1	minus	1.19e-05	34.2
PRJNA356769_ITS2_ASV5	gITS7_2_fwd	89.474	19	6	2	0	298	35	53	19	1	19	plus	1.86e-04	30.2
PRJNA356769_ITS2_ASV5	ITS4-Seb_2_rev	94.118	17	6	1	0	298	276	292	19	17	1	minus	1.86e-04	30.2
PRJNA356769_ITS2_ASV5	ITS4-Clav_2_rev	94.118	17	6	1	0	298	270	286	18	17	1	minus	0.003	26.3
PRJNA356769_ITS2_ASV6	ITS86F_2_fwd	100.000	21	10	0	0	215	31	51	21	1	21	plus	3.84e-08	42.1
PRJNA356769_ITS2_ASV6	LR0B_2_rev	100.000	19	9	0	0	215	185	203	19	19	1	minus	6.00e-07	38.2
PRJNA356769_ITS2_ASV6	fITS7_2_fwd	94.737	19	9	1	0	215	31	49	19	1	19	plus	9.37e-06	34.2
PRJNA356769_ITS2_ASV6	fITS7R_1_rev	94.737	19	9	1	0	215	31	49	19	19	1	minus	9.37e-06	34.2
PRJNA356769_ITS2_ASV6	gITS7_2_fwd	89.474	19	9	2	0	215	31	49	19	1	19	plus	1.46e-04	30.2
PRJNA356769_ITS2_ASV6	ITS4-Seb_2_rev	94.118	17	8	1	0	215	193	209	19	17	1	minus	1.46e-04	30.2
PRJNA356769_ITS2_ASV6	ITS4-Clav_2_rev	94.118	17	8	1	0	215	187	203	18	17	1	minus	0.002	26.3
PRJNA356769_ITS2_ASV7	ITS86F_2_fwd	95.238	21	7	1	0	308	35	55	21	1	21	plus	1.23e-05	34.2
PRJNA356769_ITS2_ASV7	fITS7R_1_rev	89.474	19	6	2	0	308	35	53	19	19	1	minus	0.003	26.3
PRJNA356769_ITS2_ASV8	ITS86F_2_fwd	100.000	21	8	0	0	251	35	55	21	1	21	plus	4.10e-08	42.1
PRJNA356769_ITS2_ASV8	LR0B_2_rev	100.000	19	8	0	0	251	221	239	19	19	1	minus	6.40e-07	38.2
PRJNA356769_ITS2_ASV8	fITS7R_1_rev	94.737	19	8	1	0	251	35	53	19	19	1	minus	9.99e-06	34.2
PRJNA356769_ITS2_ASV8	fITS7_2_fwd	94.737	19	8	1	0	251	35	53	19	1	19	plus	9.99e-06	34.2
PRJNA356769_ITS2_ASV8	ITS4-Seb_2_rev	94.118	17	7	1	0	251	229	245	19	17	1	minus	1.56e-04	30.2
PRJNA356769_ITS2_ASV8	gITS7_2_fwd	89.474	19	8	2	0	251	35	53	19	1	19	plus	1.56e-04	30.2
PRJNA356769_ITS2_ASV8	ITS4-Clav_2_rev	94.118	17	7	1	0	251	223	239	18	17	1	minus	0.002	26.3
PRJNA356769_ITS2_ASV9	ITS4-Seb_2_rev	94.444	18	9	1	0	205	182	199	19	18	1	minus	3.52e-05	32.2
PRJNA356769_ITS2_ASV10	ITS86F_2_fwd	100.000	21	6	0	0	350	35	55	21	1	21	plus	5.78e-08	42.1
PRJNA356769_ITS2_ASV10	LR0B_2_rev	100.000	19	5	0	0	350	320	338	19	19	1	minus	9.02e-07	38.2
PRJNA356769_ITS2_ASV10	fITS7_2_fwd	94.737	19	5	1	0	350	35	53	19	1	19	plus	1.41e-05	34.2
PRJNA356769_ITS2_ASV10	fITS7R_1_rev	94.737	19	5	1	0	350	35	53	19	19	1	minus	1.41e-05	34.2
PRJNA356769_ITS2_ASV10	gITS7_2_fwd	89.474	19	5	2	0	350	35	53	19	1	19	plus	2.20e-04	30.2
PRJNA356769_ITS2_ASV10	ITS4-Seb_2_rev	94.118	17	5	1	0	350	328	344	19	17	1	minus	2.20e-04	30.2
PRJNA356769_ITS2_ASV10	ITS4-Clav_2_rev	94.118	17	5	1	0	350	322	338	18	17	1	minus	0.003	26.3
PRJNA356769_ITS2_ASV11	ITS86F_2_fwd	100.000	21	5	0	0	422	35	55	21	1	21	plus	7.00e-08	42.1
PRJNA356769_ITS2_ASV11	fITS7R_1_rev	94.737	19	5	1	0	422	35	53	19	19	1	minus	1.71e-05	34.2
PRJNA356769_ITS2_ASV11	fITS7_2_fwd	94.737	19	5	1	0	422	35	53	19	1	19	plus	1.71e-05	34.2
PRJNA356769_ITS2_ASV11	gITS7_2_fwd	89.474	19	5	2	0	422	35	53	19	1	19	plus	2.66e-04	30.2
PRJNA356769_ITS2_ASV11	LR0B_2_rev	100.000	14	3	0	0	422	392	405	19	19	6	minus	0.001	28.2
PRJNA356769_ITS2_ASV12	ITS86F_2_fwd	90.476	21	6	2	0	374	35	55	21	1	21	plus	0.004	26.3
PRJNA356769_ITS2_ASV13	ITS86F_2_fwd	100.000	21	5	0	0	422	35	55	21	1	21	plus	7.00e-08	42.1
PRJNA356769_ITS2_ASV13	fITS7R_1_rev	94.737	19	5	1	0	422	35	53	19	19	1	minus	1.71e-05	34.2
PRJNA356769_ITS2_ASV13	fITS7_2_fwd	94.737	19	5	1	0	422	35	53	19	1	19	plus	1.71e-05	34.2
PRJNA356769_ITS2_ASV13	gITS7_2_fwd	89.474	19	5	2	0	422	35	53	19	1	19	plus	2.66e-04	30.2
PRJNA356769_ITS2_ASV13	LR0B_2_rev	100.000	14	3	0	0	422	392	405	19	19	6	minus	0.001	28.2
PRJNA356769_ITS2_ASV14	ITS4-Seb_2_rev	94.444	18	9	1	0	205	182	199	19	18	1	minus	3.52e-05	32.2
PRJNA356769_ITS2_ASV15	ITS86F_2_fwd	100.000	21	5	0	0	411	35	55	21	1	21	plus	6.81e-08	42.1
PRJNA356769_ITS2_ASV15	fITS7_2_fwd	94.737	19	5	1	0	411	35	53	19	1	19	plus	1.66e-05	34.2
PRJNA356769_ITS2_ASV15	fITS7R_1_rev	94.737	19	5	1	0	411	35	53	19	19	1	minus	1.66e-05	34.2
PRJNA356769_ITS2_ASV15	gITS7_2_fwd	89.474	19	5	2	0	411	35	53	19	1	19	plus	2.59e-04	30.2
PRJNA356769_ITS2_ASV15	LR0B_2_rev	100.000	14	3	0	0	411	381	394	19	19	6	minus	0.001	28.2
PRJNA356769_ITS2_ASV16	ITS86F_2_fwd	90.476	21	6	2	0	372	35	55	21	1	21	plus	0.004	26.3
PRJNA356769_ITS2_ASV17	ITS86F_2_fwd	100.000	21	6	0	0	341	35	55	21	1	21	plus	5.62e-08	42.1
PRJNA356769_ITS2_ASV17	fITS7_2_fwd	94.737	19	6	1	0	341	35	53	19	1	19	plus	1.37e-05	34.2
PRJNA356769_ITS2_ASV17	fITS7R_1_rev	94.737	19	6	1	0	341	35	53	19	19	1	minus	1.37e-05	34.2
PRJNA356769_ITS2_ASV17	gITS7_2_fwd	89.474	19	6	2	0	341	35	53	19	1	19	plus	2.14e-04	30.2
PRJNA356769_ITS2_ASV17	LR0B_2_rev	94.737	19	6	1	0	341	311	329	19	19	1	minus	2.14e-04	30.2
PRJNA356769_ITS2_ASV17	ITS4-Seb_2_rev	94.118	17	5	1	0	341	319	335	19	17	1	minus	2.14e-04	30.2
PRJNA356769_ITS2_ASV18	ITS86F_2_fwd	90.476	21	10	2	0	214	31	51	21	1	21	plus	0.002	26.3
PRJNA356769_ITS2_ASV18	fITS7_2_fwd	89.474	19	9	2	0	214	31	49	19	1	19	plus	0.002	26.3
PRJNA356769_ITS2_ASV19	ITS86F_2_fwd	90.476	21	6	2	0	378	35	55	21	1	21	plus	0.004	26.3
PRJNA356769_ITS2_ASV20	ITS86F_2_fwd	94.737	19	5	1	0	367	37	55	21	3	21	plus	2.31e-04	30.2
PRJNA356769_ITS2_ASV21	ITS86F_2_fwd	90.476	21	6	2	0	335	35	55	21	1	21	plus	0.003	26.3
PRJNA356769_ITS2_ASV22	ITS86F_2_fwd	95.238	21	7	1	0	310	34	54	21	1	21	plus	1.24e-05	34.2
PRJNA356769_ITS2_ASV22	fITS7R_1_rev	89.474	19	6	2	0	310	34	52	19	19	1	minus	0.003	26.3
PRJNA356769_ITS2_ASV23	ITS86F_2_fwd	90.476	21	6	2	0	366	35	55	21	1	21	plus	0.004	26.3
PRJNA356769_ITS2_ASV24	ITS4-Seb_2_rev	94.118	17	6	1	0	288	266	282	19	17	1	minus	0.003	26.3
PRJNA356769_ITS2_ASV26	ITS86F_2_fwd	100.000	21	7	0	0	298	35	55	21	1	21	plus	4.90e-08	42.1
PRJNA356769_ITS2_ASV26	LR0B_2_rev	100.000	19	6	0	0	298	268	286	19	19	1	minus	7.64e-07	38.2
PRJNA356769_ITS2_ASV26	fITS7R_1_rev	94.737	19	6	1	0	298	35	53	19	19	1	minus	1.19e-05	34.2
PRJNA356769_ITS2_ASV26	fITS7_2_fwd	94.737	19	6	1	0	298	35	53	19	1	19	plus	1.19e-05	34.2
PRJNA356769_ITS2_ASV26	ITS4-Seb_2_rev	94.118	17	6	1	0	298	276	292	19	17	1	minus	1.86e-04	30.2
PRJNA356769_ITS2_ASV26	gITS7_2_fwd	89.474	19	6	2	0	298	35	53	19	1	19	plus	1.86e-04	30.2
PRJNA356769_ITS2_ASV26	ITS4-Clav_2_rev	94.118	17	6	1	0	298	270	286	18	17	1	minus	0.003	26.3
PRJNA356769_ITS2_ASV28	ITS86F_2_fwd	100.000	21	7	0	0	296	35	55	21	1	21	plus	4.86e-08	42.1
PRJNA356769_ITS2_ASV28	fITS7R_1_rev	94.737	19	6	1	0	296	35	53	19	19	1	minus	1.19e-05	34.2
PRJNA356769_ITS2_ASV28	fITS7_2_fwd	94.737	19	6	1	0	296	35	53	19	1	19	plus	1.19e-05	34.2
PRJNA356769_ITS2_ASV28	gITS7_2_fwd	89.474	19	6	2	0	296	35	53	19	1	19	plus	1.85e-04	30.2
PRJNA356769_ITS2_ASV29	ITS86F_2_fwd	90.476	21	6	2	0	378	35	55	21	1	21	plus	0.004	26.3
PRJNA356769_ITS2_ASV31	ITS86F_2_fwd	100.000	21	8	0	0	251	35	55	21	1	21	plus	4.10e-08	42.1
PRJNA356769_ITS2_ASV31	LR0B_2_rev	100.000	19	8	0	0	251	221	239	19	19	1	minus	6.40e-07	38.2
PRJNA356769_ITS2_ASV31	fITS7R_1_rev	94.737	19	8	1	0	251	35	53	19	19	1	minus	9.99e-06	34.2
PRJNA356769_ITS2_ASV31	fITS7_2_fwd	94.737	19	8	1	0	251	35	53	19	1	19	plus	9.99e-06	34.2
PRJNA356769_ITS2_ASV31	ITS4-Seb_2_rev	94.118	17	7	1	0	251	229	245	19	17	1	minus	1.56e-04	30.2
PRJNA356769_ITS2_ASV31	gITS7_2_fwd	89.474	19	8	2	0	251	35	53	19	1	19	plus	1.56e-04	30.2
PRJNA356769_ITS2_ASV31	ITS4-Clav_2_rev	94.118	17	7	1	0	251	223	239	18	17	1	minus	0.002	26.3
PRJNA356769_ITS2_ASV32	ITS86F_2_fwd	100.000	21	6	0	0	347	35	55	21	1	21	plus	5.73e-08	42.1
PRJNA356769_ITS2_ASV32	LR0B_2_rev	100.000	19	5	0	0	347	317	335	19	19	1	minus	8.94e-07	38.2
PRJNA356769_ITS2_ASV32	fITS7R_1_rev	94.737	19	5	1	0	347	35	53	19	19	1	minus	1.40e-05	34.2
PRJNA356769_ITS2_ASV32	fITS7_2_fwd	94.737	19	5	1	0	347	35	53	19	1	19	plus	1.40e-05	34.2
PRJNA356769_ITS2_ASV32	ITS4-Seb_2_rev	94.118	17	5	1	0	347	325	341	19	17	1	minus	2.18e-04	30.2
PRJNA356769_ITS2_ASV32	gITS7_2_fwd	89.474	19	5	2	0	347	35	53	19	1	19	plus	2.18e-04	30.2
PRJNA356769_ITS2_ASV32	ITS4-Clav_2_rev	94.118	17	5	1	0	347	319	335	18	17	1	minus	0.003	26.3
PRJNA356769_ITS2_ASV33	ITS86F_2_fwd	95.238	21	7	1	0	312	35	55	21	1	21	plus	1.25e-05	34.2
PRJNA356769_ITS2_ASV33	fITS7R_1_rev	89.474	19	6	2	0	312	35	53	19	19	1	minus	0.003	26.3
PRJNA356769_ITS2_ASV34	ITS86F_2_fwd	100.000	21	8	0	0	271	35	55	21	1	21	plus	4.44e-08	42.1
PRJNA356769_ITS2_ASV34	LR0B_2_rev	100.000	19	7	0	0	271	241	259	19	19	1	minus	6.93e-07	38.2
PRJNA356769_ITS2_ASV34	fITS7R_1_rev	94.737	19	7	1	0	271	35	53	19	19	1	minus	1.08e-05	34.2
PRJNA356769_ITS2_ASV34	fITS7_2_fwd	94.737	19	7	1	0	271	35	53	19	1	19	plus	1.08e-05	34.2
PRJNA356769_ITS2_ASV34	ITS4-Seb_2_rev	94.118	17	6	1	0	271	249	265	19	17	1	minus	1.69e-04	30.2
PRJNA356769_ITS2_ASV34	gITS7_2_fwd	89.474	19	7	2	0	271	35	53	19	1	19	plus	1.69e-04	30.2
PRJNA356769_ITS2_ASV34	ITS4-Clav_2_rev	94.118	17	6	1	0	271	243	259	18	17	1	minus	0.003	26.3
PRJNA356769_ITS2_ASV35	ITS86F_2_fwd	100.000	21	5	0	0	422	35	55	21	1	21	plus	7.00e-08	42.1
PRJNA356769_ITS2_ASV35	fITS7R_1_rev	94.737	19	5	1	0	422	35	53	19	19	1	minus	1.71e-05	34.2
PRJNA356769_ITS2_ASV35	fITS7_2_fwd	94.737	19	5	1	0	422	35	53	19	1	19	plus	1.71e-05	34.2
PRJNA356769_ITS2_ASV35	gITS7_2_fwd	89.474	19	5	2	0	422	35	53	19	1	19	plus	2.66e-04	30.2
PRJNA356769_ITS2_ASV35	LR0B_2_rev	100.000	14	3	0	0	422	392	405	19	19	6	minus	0.001	28.2
PRJNA356769_ITS2_ASV36	ITS86F_2_fwd	100.000	21	7	0	0	298	35	55	21	1	21	plus	4.90e-08	42.1
PRJNA356769_ITS2_ASV36	fITS7R_1_rev	94.737	19	6	1	0	298	35	53	19	19	1	minus	1.19e-05	34.2
PRJNA356769_ITS2_ASV36	fITS7_2_fwd	94.737	19	6	1	0	298	35	53	19	1	19	plus	1.19e-05	34.2
PRJNA356769_ITS2_ASV36	gITS7_2_fwd	89.474	19	6	2	0	298	35	53	19	1	19	plus	1.86e-04	30.2
PRJNA356769_ITS2_ASV36	ITS4-Seb_2_rev	94.118	17	6	1	0	298	276	292	19	17	1	minus	0.003	26.3
PRJNA356769_ITS2_ASV37	ITS86F_2_fwd	100.000	21	7	0	0	296	35	55	21	1	21	plus	4.86e-08	42.1
PRJNA356769_ITS2_ASV37	fITS7R_1_rev	94.737	19	6	1	0	296	35	53	19	19	1	minus	1.19e-05	34.2
PRJNA356769_ITS2_ASV37	fITS7_2_fwd	94.737	19	6	1	0	296	35	53	19	1	19	plus	1.19e-05	34.2
PRJNA356769_ITS2_ASV37	gITS7_2_fwd	89.474	19	6	2	0	296	35	53	19	1	19	plus	1.85e-04	30.2
PRJNA356769_ITS2_ASV38	ITS86F_2_fwd	90.476	21	6	2	0	371	35	55	21	1	21	plus	0.004	26.3
PRJNA356769_ITS2_ASV39	ITS86F_2_fwd	100.000	21	6	0	0	334	35	55	21	1	21	plus	5.51e-08	42.1
PRJNA356769_ITS2_ASV39	LR0B_2_rev	100.000	19	6	0	0	334	304	322	19	19	1	minus	8.60e-07	38.2
PRJNA356769_ITS2_ASV39	fITS7R_1_rev	94.737	19	6	1	0	334	35	53	19	19	1	minus	1.34e-05	34.2
PRJNA356769_ITS2_ASV39	fITS7_2_fwd	94.737	19	6	1	0	334	35	53	19	1	19	plus	1.34e-05	34.2
PRJNA356769_ITS2_ASV39	ITS4-Seb_2_rev	94.118	17	5	1	0	334	312	328	19	17	1	minus	2.10e-04	30.2
PRJNA356769_ITS2_ASV39	gITS7_2_fwd	89.474	19	6	2	0	334	35	53	19	1	19	plus	2.10e-04	30.2
PRJNA356769_ITS2_ASV39	ITS4-Clav_2_rev	94.118	17	5	1	0	334	306	322	18	17	1	minus	0.003	26.3
PRJNA356769_ITS2_ASV40	ITS86F_2_fwd	100.000	21	6	0	0	341	35	55	21	1	21	plus	5.62e-08	42.1
PRJNA356769_ITS2_ASV40	fITS7_2_fwd	94.737	19	6	1	0	341	35	53	19	1	19	plus	1.37e-05	34.2
PRJNA356769_ITS2_ASV40	fITS7R_1_rev	94.737	19	6	1	0	341	35	53	19	19	1	minus	1.37e-05	34.2
PRJNA356769_ITS2_ASV40	gITS7_2_fwd	89.474	19	6	2	0	341	35	53	19	1	19	plus	2.14e-04	30.2
PRJNA356769_ITS2_ASV40	LR0B_2_rev	94.737	19	6	1	0	341	311	329	19	19	1	minus	2.14e-04	30.2
PRJNA356769_ITS2_ASV40	ITS4-Seb_2_rev	94.118	17	5	1	0	341	319	335	19	17	1	minus	2.14e-04	30.2
PRJNA356769_ITS2_ASV41	ITS86F_2_fwd	100.000	21	7	0	0	305	35	55	21	1	21	plus	5.01e-08	42.1
PRJNA356769_ITS2_ASV41	fITS7R_1_rev	94.737	19	6	1	0	305	35	53	19	19	1	minus	1.22e-05	34.2
PRJNA356769_ITS2_ASV41	fITS7_2_fwd	94.737	19	6	1	0	305	35	53	19	1	19	plus	1.22e-05	34.2
PRJNA356769_ITS2_ASV41	gITS7_2_fwd	89.474	19	6	2	0	305	35	53	19	1	19	plus	1.91e-04	30.2
PRJNA356769_ITS2_ASV42	ITS86F_2_fwd	100.000	21	6	0	0	378	35	55	21	1	21	plus	6.25e-08	42.1
PRJNA356769_ITS2_ASV42	fITS7R_1_rev	94.737	19	5	1	0	378	35	53	19	19	1	minus	1.52e-05	34.2
PRJNA356769_ITS2_ASV42	fITS7_2_fwd	94.737	19	5	1	0	378	35	53	19	1	19	plus	1.52e-05	34.2
PRJNA356769_ITS2_ASV42	gITS7_2_fwd	89.474	19	5	2	0	378	35	53	19	1	19	plus	2.38e-04	30.2
PRJNA356769_ITS2_ASV42	LR0B_2_rev	100.000	14	4	0	0	378	348	361	19	19	6	minus	0.001	28.2
PRJNA356769_ITS2_ASV43	ITS86F_2_fwd	90.476	21	6	2	0	378	35	55	21	1	21	plus	0.004	26.3
PRJNA356769_ITS2_ASV44	ITS86F_2_fwd	100.000	21	5	0	0	389	35	55	21	1	21	plus	6.44e-08	42.1
PRJNA356769_ITS2_ASV44	fITS7R_1_rev	94.737	19	5	1	0	389	35	53	19	19	1	minus	1.57e-05	34.2
PRJNA356769_ITS2_ASV44	fITS7_2_fwd	94.737	19	5	1	0	389	35	53	19	1	19	plus	1.57e-05	34.2
PRJNA356769_ITS2_ASV44	LR0B_2_rev	94.737	19	5	1	0	389	359	377	19	19	1	minus	2.45e-04	30.2
PRJNA356769_ITS2_ASV44	ITS4-Seb_2_rev	94.118	17	4	1	0	389	367	383	19	17	1	minus	2.45e-04	30.2
PRJNA356769_ITS2_ASV44	gITS7_2_fwd	89.474	19	5	2	0	389	35	53	19	1	19	plus	2.45e-04	30.2
PRJNA356769_ITS2_ASV45	ITS86F_2_fwd	90.476	21	6	2	0	335	35	55	21	1	21	plus	0.003	26.3
PRJNA356769_ITS2_ASV46	ITS86F_2_fwd	90.476	21	6	2	0	356	35	55	21	1	21	plus	0.003	26.3
PRJNA356769_ITS2_ASV47	ITS86F_2_fwd	90.476	21	6	2	0	356	35	55	21	1	21	plus	0.003	26.3
PRJNA356769_ITS2_ASV48	ITS86F_2_fwd	100.000	21	6	0	0	324	35	55	21	1	21	plus	5.34e-08	42.1
PRJNA356769_ITS2_ASV48	LR0B_2_rev	100.000	19	6	0	0	324	294	312	19	19	1	minus	8.33e-07	38.2
PRJNA356769_ITS2_ASV48	fITS7R_1_rev	94.737	19	6	1	0	324	35	53	19	19	1	minus	1.30e-05	34.2
PRJNA356769_ITS2_ASV48	fITS7_2_fwd	94.737	19	6	1	0	324	35	53	19	1	19	plus	1.30e-05	34.2
PRJNA356769_ITS2_ASV48	ITS4-Seb_2_rev	94.118	17	5	1	0	324	302	318	19	17	1	minus	2.03e-04	30.2
PRJNA356769_ITS2_ASV48	gITS7_2_fwd	89.474	19	6	2	0	324	35	53	19	1	19	plus	2.03e-04	30.2
PRJNA356769_ITS2_ASV48	ITS4-Clav_2_rev	94.118	17	5	1	0	324	296	312	18	17	1	minus	0.003	26.3
PRJNA356769_ITS2_ASV49	ITS86F_2_fwd	100.000	21	7	0	0	306	35	55	21	1	21	plus	5.03e-08	42.1
PRJNA356769_ITS2_ASV49	fITS7R_1_rev	94.737	19	6	1	0	306	35	53	19	19	1	minus	1.23e-05	34.2
PRJNA356769_ITS2_ASV49	fITS7_2_fwd	94.737	19	6	1	0	306	35	53	19	1	19	plus	1.23e-05	34.2
PRJNA356769_ITS2_ASV49	gITS7_2_fwd	89.474	19	6	2	0	306	35	53	19	1	19	plus	1.92e-04	30.2
PRJNA356769_ITS2_ASV50	ITS86F_2_fwd	100.000	21	7	0	0	288	35	55	21	1	21	plus	4.73e-08	42.1
PRJNA356769_ITS2_ASV50	LR0B_2_rev	100.000	19	7	0	0	288	258	276	19	19	1	minus	7.38e-07	38.2
PRJNA356769_ITS2_ASV50	fITS7_2_fwd	94.737	19	7	1	0	288	35	53	19	1	19	plus	1.15e-05	34.2
PRJNA356769_ITS2_ASV50	fITS7R_1_rev	94.737	19	7	1	0	288	35	53	19	19	1	minus	1.15e-05	34.2
PRJNA356769_ITS2_ASV50	gITS7_2_fwd	89.474	19	7	2	0	288	35	53	19	1	19	plus	1.80e-04	30.2
PRJNA356769_ITS2_ASV50	ITS4-Seb_2_rev	94.118	17	6	1	0	288	266	282	19	17	1	minus	1.80e-04	30.2
PRJNA356769_ITS2_ASV50	ITS4-Clav_2_rev	94.118	17	6	1	0	288	260	276	18	17	1	minus	0.003	26.3
PRJNA356769_ITS2_ASV51	ITS86F_2_fwd	95.238	21	7	1	0	311	35	55	21	1	21	plus	1.25e-05	34.2
PRJNA356769_ITS2_ASV51	fITS7R_1_rev	89.474	19	6	2	0	311	35	53	19	19	1	minus	0.003	26.3
PRJNA356769_ITS2_ASV52	ITS86F_2_fwd	100.000	21	8	0	0	271	35	55	21	1	21	plus	4.44e-08	42.1
PRJNA356769_ITS2_ASV52	LR0B_2_rev	100.000	19	7	0	0	271	241	259	19	19	1	minus	6.93e-07	38.2
PRJNA356769_ITS2_ASV52	fITS7_2_fwd	94.737	19	7	1	0	271	35	53	19	1	19	plus	1.08e-05	34.2
PRJNA356769_ITS2_ASV52	fITS7R_1_rev	94.737	19	7	1	0	271	35	53	19	19	1	minus	1.08e-05	34.2
PRJNA356769_ITS2_ASV52	gITS7_2_fwd	89.474	19	7	2	0	271	35	53	19	1	19	plus	1.69e-04	30.2
PRJNA356769_ITS2_ASV52	ITS4-Seb_2_rev	94.118	17	6	1	0	271	249	265	19	17	1	minus	1.69e-04	30.2
PRJNA356769_ITS2_ASV52	ITS4-Clav_2_rev	94.118	17	6	1	0	271	243	259	18	17	1	minus	0.003	26.3
PRJNA356769_ITS2_ASV53	ITS4-Seb_2_rev	94.444	18	9	1	0	205	182	199	19	18	1	minus	3.52e-05	32.2
PRJNA356769_ITS2_ASV54	ITS86F_2_fwd	94.737	19	5	1	0	366	37	55	21	3	21	plus	2.30e-04	30.2
PRJNA356769_ITS2_ASV55	LR0B_2_rev	94.737	19	6	1	0	307	277	295	19	19	1	minus	1.92e-04	30.2
PRJNA356769_ITS2_ASV55	ITS4-Seb_2_rev	94.118	17	6	1	0	307	285	301	19	17	1	minus	0.003	26.3
PRJNA356769_ITS2_ASV56	ITS86F_2_fwd	90.476	21	6	2	0	357	35	55	21	1	21	plus	0.004	26.3
PRJNA356769_ITS2_ASV57	ITS86F_2_fwd	95.238	21	7	1	0	313	35	55	21	1	21	plus	1.26e-05	34.2
PRJNA356769_ITS2_ASV57	fITS7R_1_rev	89.474	19	6	2	0	313	35	53	19	19	1	minus	0.003	26.3
PRJNA356769_ITS2_ASV58	LR0B_2_rev	94.737	19	5	1	0	356	326	344	19	19	1	minus	2.24e-04	30.2
PRJNA356769_ITS2_ASV58	ITS4-Seb_2_rev	94.118	17	5	1	0	356	334	350	19	17	1	minus	2.24e-04	30.2
PRJNA356769_ITS2_ASV58	ITS86F_2_fwd	90.476	21	6	2	0	356	35	55	21	1	21	plus	0.003	26.3
PRJNA356769_ITS2_ASV59	ITS86F_2_fwd	100.000	21	7	0	0	299	35	55	21	1	21	plus	4.91e-08	42.1
PRJNA356769_ITS2_ASV59	fITS7R_1_rev	94.737	19	6	1	0	299	35	53	19	19	1	minus	1.20e-05	34.2
PRJNA356769_ITS2_ASV59	fITS7_2_fwd	94.737	19	6	1	0	299	35	53	19	1	19	plus	1.20e-05	34.2
PRJNA356769_ITS2_ASV59	gITS7_2_fwd	89.474	19	6	2	0	299	35	53	19	1	19	plus	1.87e-04	30.2
PRJNA356769_ITS2_ASV59	ITS4-Seb_2_rev	94.118	17	6	1	0	299	277	293	19	17	1	minus	0.003	26.3
