"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"PRJNA356769b_ITS2_ASV389","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia",NA
"PRJNA356769b_ITS2_ASV116","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Myxotrichaceae","g__Oidiodendron","s__cereale"
"PRJNA356769b_ITS2_ASV117","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Rhodotorula","s__taiwanensis"
"PRJNA356769b_ITS2_ASV118","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Myxotrichaceae","g__Oidiodendron",NA
"PRJNA356769b_ITS2_ASV119","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Sarocladiaceae","g__Sarocladium","s__kiliense"
"PRJNA356769b_ITS2_ASV120","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Thermoascaceae","g__Paecilomyces","s__variotii"
"PRJNA356769b_ITS2_ASV122","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Sporobolomyces","s__reniformis"
"PRJNA356769b_ITS2_ASV123","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__fluviserpens"
"PRJNA356769b_ITS2_ASV125","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Plectosphaerellaceae","g__Stachylidium","s__bicolor"
"PRJNA356769b_ITS2_ASV128","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Phaffomycetaceae","g__Wickerhamomyces","s__anomalus"
"PRJNA356769b_ITS2_ASV442","k__Fungi","p__Basidiomycota","c__Wallemiomycetes","o__Wallemiales","f__Wallemiaceae","g__Wallemia","s__mellicola"
"PRJNA356769b_ITS2_ASV214","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycodaceae","g__Hanseniaspora","s__valbyensis"
"PRJNA356769b_ITS2_ASV130","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__tardicrescens"
"PRJNA356769b_ITS2_ASV131","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Pichiaceae","g__Saturnispora","s__silvae"
"PRJNA356769b_ITS2_ASV132","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Myxotrichaceae",NA,NA
"PRJNA356769b_ITS2_ASV135","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Pichiaceae","g__Pichia","s__kluyveri"
"PRJNA356769b_ITS2_ASV137","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Debaryomycetaceae","g__Debaryomycetaceae_gen_Incertae_sedis",NA
"PRJNA356769b_ITS2_ASV140","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales",NA,NA,NA
"PRJNA356769b_ITS2_ASV142","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthomycetidae_ord_Incertae_sedis","f__Thyridiaceae","g__Thyridium","s__curvatum"
"PRJNA356769b_ITS2_ASV143","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Scytalidium",NA
"PRJNA356769b_ITS2_ASV146","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Torulaceae","g__Torula","s__fici"
"PRJNA356769b_ITS2_ASV147","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Talaromyces","s__tiftonensis"
"PRJNA356769b_ITS2_ASV15","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Mrakia","s__psychrophila"
"PRJNA356769b_ITS2_ASV151","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"PRJNA356769b_ITS2_ASV432","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Trichosporonaceae","g__Cutaneotrichosporon","s__jirovecii"
"PRJNA356769b_ITS2_ASV155","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Myxotrichaceae",NA,NA
"PRJNA356769b_ITS2_ASV156","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Coniocessiaceae","g__Coniocessia","s__minima"
"PRJNA356769b_ITS2_ASV16","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Debaryomycetaceae","g__Debaryomyces","s__prosopidis"
"PRJNA356769b_ITS2_ASV161","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae","g__Ceratobasidium","s__ramicola"
"PRJNA356769b_ITS2_ASV162","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","g__Engyodontium","s__album"
"PRJNA356769b_ITS2_ASV163","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariaceae","g__Ascotricha","s__chartarum"
"PRJNA356769b_ITS2_ASV164","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__restrictus"
"PRJNA356769b_ITS2_ASV165","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__ruber"
"PRJNA356769b_ITS2_ASV166","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","s__asiaticum"
"PRJNA356769b_ITS2_ASV167","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Hydnaceae","g__Sistotrema","s__brinkmannii"
"PRJNA356769b_ITS2_ASV170","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus",NA
"PRJNA356769b_ITS2_ASV171","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Kluyveromyces","s__marxianus"
"PRJNA356769b_ITS2_ASV231","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__expansum"
"PRJNA356769b_ITS2_ASV173","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Erysiphaceae","g__Sawadaea","s__bicornis"
"PRJNA356769b_ITS2_ASV174","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Mycothermus","s__thermophilus"
"PRJNA356769b_ITS2_ASV175","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__albicans"
"PRJNA356769b_ITS2_ASV176","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Tilletiales","f__Erratomycetaceae","g__Erratomyces","s__patelii"
"PRJNA356769b_ITS2_ASV181","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Dipodascaceae","g__Geotrichum","s__silvicola"
"PRJNA356769b_ITS2_ASV187","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Mucoraceae","g__Mucor","s__racemosus"
"PRJNA356769b_ITS2_ASV189","k__Fungi","p__Basidiomycota","c__Atractiellomycetes","o__Atractiellales","f__Phleogenaceae","g__Helicogloea",NA
"PRJNA356769b_ITS2_ASV190","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Didymocyrtis","s__septata"
"PRJNA356769b_ITS2_ASV426","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium",NA
"PRJNA356769b_ITS2_ASV635","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Thermoascaceae","g__Paecilomyces","s__maximus"
"PRJNA356769b_ITS2_ASV196","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__saitoana"
"PRJNA356769b_ITS2_ASV198","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Peroneutypa","s__polysporae"
"PRJNA356769b_ITS2_ASV20","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Talaromyces","s__calidominioluteus"
"PRJNA356769b_ITS2_ASV200","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Talaromyces",NA
"PRJNA356769b_ITS2_ASV201","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"PRJNA356769b_ITS2_ASV202","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Trichomonascaceae","g__Blastobotrys","s__adeninivorans"
"PRJNA356769b_ITS2_ASV204","k__Fungi","p__Ascomycota","c__Eurotiomycetes",NA,NA,NA,NA
"PRJNA356769b_ITS2_ASV207","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__parapsilosis"
"PRJNA356769b_ITS2_ASV208","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycodaceae","g__Saccharomycodes","s__ludwigii"
"PRJNA356769b_ITS2_ASV209","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Sakaguchiales","f__Sakaguchiaceae","g__Sakaguchia","s__dacryoidea"
"PRJNA356769b_ITS2_ASV21","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Symmetrosporaceae","g__Symmetrospora","s__suhii"
"PRJNA356769b_ITS2_ASV212","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Mucoraceae","g__Mucor","s__circinelloides"
"PRJNA356769b_ITS2_ASV213","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Paracremonium","s__inflatum"
"PRJNA356769b_ITS2_ASV215","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Amorphothecaceae","g__Amorphothecaceae_gen_Incertae_sedis",NA
"PRJNA356769b_ITS2_ASV216","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Paraxerochrysium","s__coryli"
"PRJNA356769b_ITS2_ASV217","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Trichomonascaceae","g__Blastobotrys","s__capitulatus"
"PRJNA356769b_ITS2_ASV22","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Pseudopithomyces","s__sacchari"
"PRJNA356769b_ITS2_ASV225","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Sarocladiaceae","g__Sarocladium",NA
"PRJNA356769b_ITS2_ASV230","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Pichiaceae","g__Pichia","s__fermentans"
"PRJNA356769b_ITS2_ASV233","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__orthopsilosis"
"PRJNA356769b_ITS2_ASV234","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Nakaseomyces","s__bracarensis"
"PRJNA356769b_ITS2_ASV236","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Rhizopodaceae","g__Rhizopus","s__arrhizus"
"PRJNA356769b_ITS2_ASV237","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia","s__restricta"
"PRJNA356769b_ITS2_ASV238","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Neocatenulostroma","s__microsporum"
"PRJNA356769b_ITS2_ASV98","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus",NA
"PRJNA356769b_ITS2_ASV24","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Limnoperdaceae","g__Limnoperdon",NA
"PRJNA356769b_ITS2_ASV243","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__pullulans"
"PRJNA356769b_ITS2_ASV244","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__floriforme"
"PRJNA356769b_ITS2_ASV245","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia",NA
"PRJNA356769b_ITS2_ASV25","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__halophilicus"
"PRJNA356769b_ITS2_ASV877","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia","s__arunalokei"
"PRJNA356769b_ITS2_ASV253","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Stachybotryaceae","g__Albifimbria","s__verrucaria"
"PRJNA356769b_ITS2_ASV254","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Sarocladiaceae","g__Parasarocladium",NA
"PRJNA356769b_ITS2_ASV718","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia","s__arunalokei"
"PRJNA356769b_ITS2_ASV256","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Eurotiales_fam_Incertae_sedis","g__Eurotiales_gen_Incertae_sedis",NA
"PRJNA356769b_ITS2_ASV257","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__brevicompactum"
"PRJNA356769b_ITS2_ASV258","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"PRJNA356769b_ITS2_ASV259","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Chaetomium","s__grande"
"PRJNA356769b_ITS2_ASV26","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__spencermartinsiae"
"PRJNA356769b_ITS2_ASV260","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Metschnikowiaceae","g__Metschnikowia","s__rancensis"
"PRJNA356769b_ITS2_ASV262","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Bipolaris","s__zeicola"
"PRJNA356769b_ITS2_ASV876","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Mrakia","s__frigida"
"PRJNA356769b_ITS2_ASV265","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Diutina","s__catenulata"
"PRJNA356769b_ITS2_ASV268","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Trichosporonaceae","g__Trichosporon",NA
"PRJNA356769b_ITS2_ASV269","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__argentea"
"PRJNA356769b_ITS2_ASV270","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__fumigatus"
"PRJNA356769b_ITS2_ASV271","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Trichomonascaceae","g__Starmerella","s__magnoliae"
"PRJNA356769b_ITS2_ASV272","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Pichiaceae","g__Pichia","s__kluyveri"
"PRJNA356769b_ITS2_ASV273","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__niger"
"PRJNA356769b_ITS2_ASV656","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia",NA
"PRJNA356769b_ITS2_ASV624","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia","s__globosa"
"PRJNA356769b_ITS2_ASV873","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__metachromatica"
"PRJNA356769b_ITS2_ASV280","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Eupenidiella","s__venezuelensis"
"PRJNA356769b_ITS2_ASV282","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Yarrowia","s__lipolytica"
"PRJNA356769b_ITS2_ASV285","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Zasmidium",NA
"PRJNA356769b_ITS2_ASV287","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria",NA
"PRJNA356769b_ITS2_ASV288","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","g__Lecanicillium",NA
"PRJNA356769b_ITS2_ASV289","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiales_fam_Incertae_sedis","g__Perusta",NA
"PRJNA356769b_ITS2_ASV29","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales",NA,NA,NA
"PRJNA356769b_ITS2_ASV291","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Rasamsonia","s__emersonii"
"PRJNA356769b_ITS2_ASV292","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Neoschizotheciaceae","g__Immersiella","s__caudata"
"PRJNA356769b_ITS2_ASV293","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariaceae","g__Ascotricha","s__guamensis"
"PRJNA356769b_ITS2_ASV295","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"PRJNA356769b_ITS2_ASV296","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Yarrowia",NA
"PRJNA356769b_ITS2_ASV297","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Sordariaceae","g__Neurospora","s__crassa"
"PRJNA356769b_ITS2_ASV455","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Pichiaceae","g__Pichia","s__membranifaciens"
"PRJNA356769b_ITS2_ASV3","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia",NA
"PRJNA356769b_ITS2_ASV305","k__Fungi","p__Basidiomycota","c__Ustilaginomycetes","o__Ustilaginales","f__Ustilaginaceae","g__Moesziomyces","s__bullatus"
"PRJNA356769b_ITS2_ASV308","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Yarrowia","s__lipolytica"
"PRJNA356769b_ITS2_ASV310","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","s__solani"
"PRJNA356769b_ITS2_ASV311","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia","s__dermatis"
"PRJNA356769b_ITS2_ASV312","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","g__Lecanicillium","s__coprophilum"
"PRJNA356769b_ITS2_ASV314","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus",NA
"PRJNA356769b_ITS2_ASV315","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium",NA
"PRJNA356769b_ITS2_ASV317","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Nakaseomyces","s__glabratus"
"PRJNA356769b_ITS2_ASV318","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Didymella",NA
"PRJNA356769b_ITS2_ASV319","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__flavus"
"PRJNA356769b_ITS2_ASV32","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Yarrowia","s__divulgata"
"PRJNA356769b_ITS2_ASV320","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Sclerotiniaceae",NA,NA
"PRJNA356769b_ITS2_ASV321","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycodaceae","g__Hanseniaspora","s__clermontiae"
"PRJNA356769b_ITS2_ASV328","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Trichosporonaceae","g__Cutaneotrichosporon","s__moniliiforme"
"PRJNA356769b_ITS2_ASV33","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia","s__globosa"
"PRJNA356769b_ITS2_ASV331","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Periconiaceae","g__Periconia","s__festucae"
"PRJNA356769b_ITS2_ASV333","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Debaryomycetaceae","g__Yamadazyma","s__mexicana"
"PRJNA356769b_ITS2_ASV334","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideomycetes_ord_Incertae_sedis","f__Pseudorobillardaceae","g__Pseudorobillarda","s__phragmitis"
"PRJNA356769b_ITS2_ASV335","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Pichiaceae","g__Pichia","s__fermentans"
"PRJNA356769b_ITS2_ASV336","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA
"PRJNA356769b_ITS2_ASV337","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Kazachstania","s__exigua"
"PRJNA356769b_ITS2_ASV338","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Thermomyces","s__lanuginosus"
"PRJNA356769b_ITS2_ASV340","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__alternata"
"PRJNA356769b_ITS2_ASV341","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__johnkrugii"
"PRJNA356769b_ITS2_ASV342","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Botryobasidiaceae","g__Botryobasidium","s__candicans"
"PRJNA356769b_ITS2_ASV343","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Metschnikowiaceae","g__Kodamaea","s__ohmeri"
"PRJNA356769b_ITS2_ASV344","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Trichosporonaceae","g__Cutaneotrichosporon","s__mucoides"
"PRJNA356769b_ITS2_ASV345","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"PRJNA356769b_ITS2_ASV350","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Diutina","s__mesorugosa"
