query_id,query_reads_count,subject_id,%_identity,alignment_length,mismatches,gap_opens,query_length,q_start,q_end,subject_length,s_start,s_end,evalue,bit_score
F2FH1206,45033,ITS4ngs_2_rev,95.0,20,1,0,80,9,28,20,1,20,3.56e-06,34.6
F2FH1206,45033,LR0B_2_rev,89.474,19,2,0,80,41,59,19,1,19,0.000528,26.5
F2FH1212,53993,ITS4-Fun_2_rev,100.0,23,0,0,100,8,30,27,3,25,8.83e-09,42.8
F2FH1212,53993,ITS4_2_rev,100.0,20,0,0,100,7,26,20,1,20,3.76e-07,37.4
F2FH1212,53993,ITS4ngs_2_rev,95.0,20,1,0,100,7,26,20,1,20,4.58e-06,34.6
F2FH1215,62009,ITS4-Fun_2_rev,96.0,25,1,0,63,8,32,27,3,27,5.2e-09,43.7
F2FH1215,62009,ITS4_2_rev,100.0,20,0,0,63,7,26,20,1,20,2.21e-07,37.4
F2FH1215,62009,ITS4ngs_2_rev,95.0,20,1,0,63,7,26,20,1,20,2.69e-06,34.6
F2FH1215,62009,LR0B_2_rev,94.737,19,1,0,63,39,57,19,1,19,3.28e-05,31.0
F2FH1217,55326,ITS4-Fun_2_rev,100.0,23,0,0,77,8,30,27,3,25,6.58e-09,42.8
F2FH1217,55326,ITS4_2_rev,100.0,20,0,0,77,7,26,20,1,20,2.8e-07,37.4
F2FH1217,55326,ITS4ngs_2_rev,95.0,20,1,0,77,7,26,20,1,20,3.41e-06,34.6
F2FH1218,41200,ITS4-Fun_2_rev,96.0,25,1,0,64,10,34,27,3,27,5.3e-09,43.7
F2FH1218,41200,ITS4_2_rev,100.0,20,0,0,64,9,28,20,1,20,2.25e-07,37.4
F2FH1218,41200,ITS4ngs_2_rev,95.0,20,1,0,64,9,28,20,1,20,2.75e-06,34.6
F2FH1218,41200,LR0B_2_rev,89.474,19,2,0,64,41,59,19,1,19,0.000408,26.5
F2FH1222,41777,ITS4-Fun_2_rev,100.0,23,0,0,64,10,32,27,3,25,5.3e-09,42.8
F2FH1222,41777,ITS4_2_rev,100.0,20,0,0,64,9,28,20,1,20,2.25e-07,37.4
F2FH1222,41777,ITS4ngs_2_rev,95.0,20,1,0,64,9,28,20,1,20,2.75e-06,34.6
F2FH1226,54674,ITS4-Fun_2_rev,96.0,25,1,0,100,8,32,27,3,27,8.83e-09,43.7
F2FH1226,54674,ITS4_2_rev,100.0,20,0,0,100,7,26,20,1,20,3.76e-07,37.4
F2FH1226,54674,ITS4ngs_2_rev,95.0,20,1,0,100,7,26,20,1,20,4.58e-06,34.6
F2FH1226,54674,LR0B_2_rev,94.737,19,1,0,100,39,57,19,1,19,5.57e-05,31.0
F2FH1228,53027,ITS4-Fun_2_rev,100.0,23,0,0,67,7,29,27,3,25,5.59e-09,42.8
F2FH1228,53027,ITS4_2_rev,100.0,20,0,0,67,6,25,20,1,20,2.38e-07,37.4
F2FH1228,53027,ITS4ngs_2_rev,95.0,20,1,0,67,6,25,20,1,20,2.9e-06,34.6
F2FH1238,67188,ITS4_2_rev,100.0,17,0,0,22,6,22,20,1,17,3.01e-06,31.9
F2FH1238,67188,ITS4-Fun_2_rev,100.0,16,0,0,22,7,22,27,3,18,1.05e-05,30.1
F2FH1238,67188,ITS4ngs_2_rev,94.118,17,1,0,22,6,22,20,1,17,3.67e-05,29.2
F2FH1242,68891,ITS4-Fun_2_rev,96.0,25,1,0,44,7,31,27,3,27,3.8e-09,43.7
F2FH1242,68891,ITS4_2_rev,100.0,20,0,0,44,6,25,20,1,20,1.62e-07,37.4
F2FH1242,68891,ITS4ngs_2_rev,95.0,20,1,0,44,6,25,20,1,20,1.97e-06,34.6
F2FH1244,67188,ITS4-Fun_2_rev,100.0,23,0,0,100,10,32,27,3,25,8.83e-09,42.8
F2FH1244,67188,ITS4_2_rev,100.0,20,0,0,100,9,28,20,1,20,3.76e-07,37.4
F2FH1244,67188,ITS4ngs_2_rev,95.0,20,1,0,100,9,28,20,1,20,4.58e-06,34.6
F2FH1246,41434,ITS4-Fun_2_rev,96.0,25,1,0,61,7,31,27,3,27,5.01e-09,43.7
F2FH1246,41434,ITS4_2_rev,100.0,20,0,0,61,6,25,20,1,20,2.13e-07,37.4
F2FH1246,41434,ITS4ngs_2_rev,95.0,20,1,0,61,6,25,20,1,20,2.59e-06,34.6
F2FH1246,41434,LR0B_2_rev,94.737,19,1,0,61,38,56,19,1,19,3.16e-05,31.0
F2FH1248,35309,ITS4-Fun_2_rev,96.0,25,1,0,100,9,33,27,3,27,8.83e-09,43.7
F2FH1248,35309,ITS4_2_rev,100.0,20,0,0,100,8,27,20,1,20,3.76e-07,37.4
F2FH1248,35309,ITS4ngs_2_rev,95.0,20,1,0,100,8,27,20,1,20,4.58e-06,34.6
F2FH1248,35309,LR0B_2_rev,94.737,19,1,0,100,40,58,19,1,19,5.57e-05,31.0
F2FH1249,39025,ITS4-Fun_2_rev,96.0,25,1,0,46,9,33,27,3,27,4.02e-09,43.7
F2FH1249,39025,ITS4_2_rev,100.0,20,0,0,46,8,27,20,1,20,1.71e-07,37.4
F2FH1249,39025,ITS4ngs_2_rev,95.0,20,1,0,46,8,27,20,1,20,2.08e-06,34.6
F2FH1250,43477,ITS4-Fun_2_rev,96.0,25,1,0,64,10,34,27,3,27,5.3e-09,43.7
F2FH1250,43477,ITS4_2_rev,100.0,20,0,0,64,9,28,20,1,20,2.25e-07,37.4
F2FH1250,43477,LR0B_2_rev,100.0,19,0,0,64,41,59,19,1,19,7.87e-07,35.6
F2FH1250,43477,ITS4ngs_2_rev,95.0,20,1,0,64,9,28,20,1,20,2.75e-06,34.6
F2FH1250,43477,ITS4-Seb_2_rev,94.118,17,1,0,64,35,51,19,1,17,0.000117,29.2
F2FH1455,46259,ITS4_2_rev,100.0,14,0,0,25,8,21,20,1,14,0.000156,26.5
F2FH1456,51316,ITS4-Fun_2_rev,96.0,25,1,0,100,7,31,27,3,27,8.83e-09,43.7
F2FH1456,51316,ITS4_2_rev,100.0,20,0,0,100,6,25,20,1,20,3.76e-07,37.4
F2FH1456,51316,ITS4ngs_2_rev,95.0,20,1,0,100,6,25,20,1,20,4.58e-06,34.6
F2FH1456,51316,LR0B_2_rev,94.737,19,1,0,100,38,56,19,1,19,5.57e-05,31.0
F2FH1462,44737,ITS4_2_rev,100.0,20,0,0,100,9,28,20,1,20,3.76e-07,37.4
F2FH1462,44737,ITS4-Fun_2_rev,100.0,19,0,0,100,10,28,27,3,21,1.31e-06,35.6
F2FH1462,44737,ITS4ngs_2_rev,95.0,20,1,0,100,9,28,20,1,20,4.58e-06,34.6
F2FH1463,66013,ITS4_2_rev,100.0,20,0,0,25,6,25,20,1,20,8.61e-08,37.4
F2FH1463,66013,ITS4-Fun_2_rev,100.0,19,0,0,25,7,25,27,3,21,3e-07,35.6
F2FH1463,66013,ITS4ngs_2_rev,95.0,20,1,0,25,6,25,20,1,20,1.05e-06,34.6
F2FH1470,43066,ITS4-Fun_2_rev,100.0,23,0,0,64,10,32,27,3,25,5.3e-09,42.8
F2FH1470,43066,ITS4_2_rev,100.0,20,0,0,64,9,28,20,1,20,2.25e-07,37.4
F2FH1470,43066,ITS4ngs_2_rev,95.0,20,1,0,64,9,28,20,1,20,2.75e-06,34.6
F2FH1471,50111,ITS4-Fun_2_rev,100.0,23,0,0,100,8,30,27,3,25,8.83e-09,42.8
F2FH1471,50111,ITS4_2_rev,100.0,20,0,0,100,7,26,20,1,20,3.76e-07,37.4
F2FH1471,50111,ITS4ngs_2_rev,95.0,20,1,0,100,7,26,20,1,20,4.58e-06,34.6
F2FH1472,60876,ITS4-Fun_2_rev,100.0,20,0,0,26,7,26,27,3,22,7.85e-08,37.4
F2FH1472,60876,ITS4_2_rev,100.0,20,0,0,26,6,25,20,1,20,7.85e-08,37.4
F2FH1472,60876,ITS4ngs_2_rev,95.0,20,1,0,26,6,25,20,1,20,9.56e-07,34.6
F2FH1477,42549,ITS4-Fun_2_rev,96.0,25,1,0,100,9,33,27,3,27,8.83e-09,43.7
F2FH1477,42549,ITS4_2_rev,100.0,20,0,0,100,8,27,20,1,20,3.76e-07,37.4
F2FH1477,42549,ITS4ngs_2_rev,95.0,20,1,0,100,8,27,20,1,20,4.58e-06,34.6
F2FH1478,46834,ITS4-Fun_2_rev,100.0,23,0,0,100,10,32,27,3,25,8.83e-09,42.8
F2FH1478,46834,ITS4_2_rev,100.0,20,0,0,100,9,28,20,1,20,3.76e-07,37.4
F2FH1478,46834,ITS4ngs_2_rev,95.0,20,1,0,100,9,28,20,1,20,4.58e-06,34.6
F2FH1479,36349,ITS4-Fun_2_rev,100.0,23,0,0,66,9,31,27,3,25,5.5e-09,42.8
F2FH1479,36349,ITS4_2_rev,100.0,20,0,0,66,8,27,20,1,20,2.34e-07,37.4
F2FH1479,36349,ITS4ngs_2_rev,95.0,20,1,0,66,8,27,20,1,20,2.85e-06,34.6
F2FH1481,42215,ITS4-Fun_2_rev,100.0,23,0,0,40,7,29,27,3,25,3.37e-09,42.8
F2FH1481,42215,ITS4_2_rev,100.0,20,0,0,40,6,25,20,1,20,1.43e-07,37.4
F2FH1481,42215,ITS4ngs_2_rev,95.0,20,1,0,40,6,25,20,1,20,1.74e-06,34.6
F2FH1484,36443,ITS4-Fun_2_rev,96.0,25,1,0,100,9,33,27,3,27,8.83e-09,43.7
F2FH1484,36443,ITS4_2_rev,100.0,20,0,0,100,8,27,20,1,20,3.76e-07,37.4
F2FH1484,36443,ITS4ngs_2_rev,95.0,20,1,0,100,8,27,20,1,20,4.58e-06,34.6
F2FH1484,36443,LR0B_2_rev,94.737,19,1,0,100,40,58,19,1,19,5.57e-05,31.0
F2FH1491,56549,ITS4-Fun_2_rev,100.0,23,0,0,77,7,29,27,3,25,6.58e-09,42.8
F2FH1491,56549,ITS4_2_rev,100.0,20,0,0,77,6,25,20,1,20,2.8e-07,37.4
F2FH1491,56549,ITS4ngs_2_rev,95.0,20,1,0,77,6,25,20,1,20,3.41e-06,34.6
F2FH1496,43411,ITS4-Fun_2_rev,100.0,23,0,0,64,8,30,27,3,25,5.3e-09,42.8
F2FH1496,43411,ITS4_2_rev,100.0,20,0,0,64,7,26,20,1,20,2.25e-07,37.4
F2FH1496,43411,ITS4ngs_2_rev,95.0,20,1,0,64,7,26,20,1,20,2.75e-06,34.6
F2FH1504,67475,ITS4-Fun_2_rev,100.0,23,0,0,63,9,31,27,3,25,5.2e-09,42.8
F2FH1504,67475,ITS4_2_rev,100.0,20,0,0,63,8,27,20,1,20,2.21e-07,37.4
F2FH1504,67475,ITS4ngs_2_rev,95.0,20,1,0,63,8,27,20,1,20,2.69e-06,34.6
F2FH1506,30426,ITS4-Fun_2_rev,96.0,25,1,0,64,10,34,27,3,27,5.3e-09,43.7
F2FH1506,30426,ITS4_2_rev,100.0,20,0,0,64,9,28,20,1,20,2.25e-07,37.4
F2FH1506,30426,ITS4ngs_2_rev,95.0,20,1,0,64,9,28,20,1,20,2.75e-06,34.6
F2FH1506,30426,LR0B_2_rev,94.737,19,1,0,64,41,59,19,1,19,3.34e-05,31.0
F2FH1514,36270,ITS4-Fun_2_rev,96.0,25,1,0,63,9,33,27,3,27,5.2e-09,43.7
F2FH1514,36270,ITS4_2_rev,100.0,20,0,0,63,8,27,20,1,20,2.21e-07,37.4
F2FH1514,36270,LR0B_2_rev,100.0,19,0,0,63,40,58,19,1,19,7.72e-07,35.6
F2FH1514,36270,ITS4ngs_2_rev,95.0,20,1,0,63,8,27,20,1,20,2.69e-06,34.6
F2FH1514,36270,ITS4-Seb_2_rev,94.118,17,1,0,63,34,50,19,1,17,0.000115,29.2
F2FH1520,54453,ITS4_2_rev,100.0,20,0,0,28,9,28,20,1,20,8.77e-08,37.4
F2FH1520,54453,ITS4-Fun_2_rev,100.0,19,0,0,28,10,28,27,3,21,3.06e-07,35.6
F2FH1520,54453,ITS4ngs_2_rev,95.0,20,1,0,28,9,28,20,1,20,1.07e-06,34.6
F2FH1525,68820,ITS4-Fun_2_rev,100.0,23,0,0,68,7,29,27,3,25,5.69e-09,42.8
F2FH1525,68820,ITS4_2_rev,100.0,20,0,0,68,6,25,20,1,20,2.42e-07,37.4
F2FH1525,68820,ITS4ngs_2_rev,95.0,20,1,0,68,6,25,20,1,20,2.95e-06,34.6
F2FH1529,40849,ITS4-Fun_2_rev,100.0,23,0,0,42,9,31,27,3,25,3.58e-09,42.8
F2FH1529,40849,ITS4_2_rev,100.0,20,0,0,42,8,27,20,1,20,1.52e-07,37.4
F2FH1529,40849,ITS4ngs_2_rev,95.0,20,1,0,42,8,27,20,1,20,1.86e-06,34.6
F2FH1530,64727,ITS4-Fun_2_rev,100.0,23,0,0,42,9,31,27,3,25,3.58e-09,42.8
F2FH1530,64727,ITS4_2_rev,100.0,20,0,0,42,8,27,20,1,20,1.52e-07,37.4
F2FH1530,64727,ITS4ngs_2_rev,95.0,20,1,0,42,8,27,20,1,20,1.86e-06,34.6
F2FH1534,69773,ITS4-Fun_2_rev,100.0,23,0,0,30,8,30,27,3,25,2.28e-09,42.8
F2FH1534,69773,ITS4_2_rev,100.0,20,0,0,30,7,26,20,1,20,9.7e-08,37.4
F2FH1534,69773,ITS4ngs_2_rev,95.0,20,1,0,30,7,26,20,1,20,1.18e-06,34.6
F2FH1535,67353,ITS4-Fun_2_rev,100.0,23,0,0,81,7,29,27,3,25,6.97e-09,42.8
F2FH1535,67353,ITS4_2_rev,100.0,20,0,0,81,6,25,20,1,20,2.96e-07,37.4
F2FH1535,67353,ITS4ngs_2_rev,95.0,20,1,0,81,6,25,20,1,20,3.61e-06,34.6
F2FH1545,48880,ITS4-Fun_2_rev,100.0,23,0,0,100,9,31,27,3,25,8.83e-09,42.8
F2FH1545,48880,ITS4_2_rev,100.0,20,0,0,100,8,27,20,1,20,3.76e-07,37.4
F2FH1545,48880,ITS4ngs_2_rev,95.0,20,1,0,100,8,27,20,1,20,4.58e-06,34.6
F2FH1546,67479,ITS4-Fun_2_rev,96.0,25,1,0,65,7,31,27,3,27,5.4e-09,43.7
F2FH1546,67479,ITS4_2_rev,100.0,20,0,0,65,6,25,20,1,20,2.3e-07,37.4
F2FH1546,67479,ITS4ngs_2_rev,95.0,20,1,0,65,6,25,20,1,20,2.8e-06,34.6
F2FH1547,48103,ITS4-Fun_2_rev,100.0,23,0,0,100,8,30,27,3,25,8.83e-09,42.8
F2FH1547,48103,ITS4_2_rev,100.0,20,0,0,100,7,26,20,1,20,3.76e-07,37.4
F2FH1547,48103,ITS4ngs_2_rev,95.0,20,1,0,100,7,26,20,1,20,4.58e-06,34.6
F2FH1555,70100,ITS4-Fun_2_rev,100.0,23,0,0,73,9,31,27,3,25,6.18e-09,42.8
F2FH1555,70100,ITS4_2_rev,100.0,20,0,0,73,8,27,20,1,20,2.63e-07,37.4
F2FH1555,70100,ITS4ngs_2_rev,95.0,20,1,0,73,8,27,20,1,20,3.2e-06,34.6
F2FH1556,39781,ITS4-Fun_2_rev,100.0,23,0,0,81,8,30,27,3,25,6.97e-09,42.8
F2FH1556,39781,ITS4_2_rev,100.0,20,0,0,81,7,26,20,1,20,2.96e-07,37.4
F2FH1556,39781,ITS4ngs_2_rev,95.0,20,1,0,81,7,26,20,1,20,3.61e-06,34.6
F2FH1562,63494,ITS4-Fun_2_rev,100.0,23,0,0,77,7,29,27,3,25,6.58e-09,42.8
F2FH1562,63494,ITS4_2_rev,100.0,20,0,0,77,6,25,20,1,20,2.8e-07,37.4
F2FH1562,63494,ITS4ngs_2_rev,95.0,20,1,0,77,6,25,20,1,20,3.41e-06,34.6
F2FH1563,53327,ITS4-Fun_2_rev,100.0,23,0,0,61,7,29,27,3,25,5.01e-09,42.8
F2FH1563,53327,ITS4_2_rev,100.0,20,0,0,61,6,25,20,1,20,2.13e-07,37.4
F2FH1563,53327,ITS4ngs_2_rev,95.0,20,1,0,61,6,25,20,1,20,2.59e-06,34.6
F2FH1567,71174,ITS4-Fun_2_rev,96.0,25,1,0,77,10,34,27,3,27,6.58e-09,43.7
F2FH1567,71174,ITS4_2_rev,100.0,20,0,0,77,9,28,20,1,20,2.8e-07,37.4
F2FH1567,71174,LR0B_2_rev,100.0,19,0,0,77,41,59,19,1,19,9.76e-07,35.6
F2FH1567,71174,ITS4ngs_2_rev,95.0,20,1,0,77,9,28,20,1,20,3.41e-06,34.6
F2FH1567,71174,ITS4-Seb_2_rev,94.118,17,1,0,77,35,51,19,1,17,0.000145,29.2
F2FH1573,52121,ITS4_2_rev,100.0,20,0,0,28,9,28,20,1,20,8.77e-08,37.4
F2FH1573,52121,ITS4-Fun_2_rev,100.0,19,0,0,28,10,28,27,3,21,3.06e-07,35.6
F2FH1573,52121,ITS4ngs_2_rev,95.0,20,1,0,28,9,28,20,1,20,1.07e-06,34.6
F2FH1576,55123,ITS4-Fun_2_rev,100.0,23,0,0,95,7,29,27,3,25,8.34e-09,42.8
F2FH1576,55123,ITS4_2_rev,100.0,20,0,0,95,6,25,20,1,20,3.55e-07,37.4
F2FH1576,55123,ITS4ngs_2_rev,95.0,20,1,0,95,6,25,20,1,20,4.32e-06,34.6
F2FH1588,50763,ITS4_2_rev,100.0,20,0,0,26,7,26,20,1,20,7.85e-08,37.4
F2FH1588,50763,ITS4-Fun_2_rev,100.0,19,0,0,26,8,26,27,3,21,2.74e-07,35.6
F2FH1588,50763,ITS4ngs_2_rev,95.0,20,1,0,26,7,26,20,1,20,9.56e-07,34.6
F2FH1590,63431,ITS4-Fun_2_rev,100.0,23,0,0,61,7,29,27,3,25,5.01e-09,42.8
F2FH1590,63431,ITS4_2_rev,100.0,20,0,0,61,6,25,20,1,20,2.13e-07,37.4
F2FH1590,63431,ITS4ngs_2_rev,95.0,20,1,0,61,6,25,20,1,20,2.59e-06,34.6
F2FH1591,38103,ITS4-Fun_2_rev,100.0,23,0,0,90,10,32,27,3,25,7.85e-09,42.8
F2FH1591,38103,ITS4_2_rev,100.0,20,0,0,90,9,28,20,1,20,3.34e-07,37.4
F2FH1591,38103,ITS4ngs_2_rev,95.0,20,1,0,90,9,28,20,1,20,4.07e-06,34.6
F2FH1593,51174,ITS4_2_rev,100.0,20,0,0,28,9,28,20,1,20,8.77e-08,37.4
F2FH1593,51174,ITS4-Fun_2_rev,100.0,19,0,0,28,10,28,27,3,21,3.06e-07,35.6
F2FH1593,51174,ITS4ngs_2_rev,95.0,20,1,0,28,9,28,20,1,20,1.07e-06,34.6
F2FH1596,33747,ITS4-Fun_2_rev,96.0,25,1,0,62,8,32,27,3,27,5.1e-09,43.7
F2FH1596,33747,ITS4_2_rev,100.0,20,0,0,62,7,26,20,1,20,2.17e-07,37.4
F2FH1596,33747,ITS4ngs_2_rev,95.0,20,1,0,62,7,26,20,1,20,2.64e-06,34.6
F2FH1596,33747,LR0B_2_rev,94.737,19,1,0,62,39,57,19,1,19,3.22e-05,31.0
F2FH1815,42759,ITS4-Fun_2_rev,100.0,23,0,0,64,10,32,27,3,25,5.3e-09,42.8
F2FH1815,42759,ITS4_2_rev,100.0,20,0,0,64,9,28,20,1,20,2.25e-07,37.4
F2FH1815,42759,ITS4ngs_2_rev,95.0,20,1,0,64,9,28,20,1,20,2.75e-06,34.6
F2FH1821,49980,ITS4-Fun_2_rev,100.0,23,0,0,61,7,29,27,3,25,5.01e-09,42.8
F2FH1821,49980,ITS4_2_rev,100.0,20,0,0,61,6,25,20,1,20,2.13e-07,37.4
F2FH1821,49980,ITS4ngs_2_rev,95.0,20,1,0,61,6,25,20,1,20,2.59e-06,34.6
F2FH1825,49897,ITS4-Fun_2_rev,100.0,23,0,0,100,7,29,27,3,25,8.83e-09,42.8
F2FH1825,49897,ITS4_2_rev,100.0,20,0,0,100,6,25,20,1,20,3.76e-07,37.4
F2FH1825,49897,ITS4ngs_2_rev,95.0,20,1,0,100,6,25,20,1,20,4.58e-06,34.6
F2FH1829,56856,ITS4_2_rev,100.0,20,0,0,28,9,28,20,1,20,8.77e-08,37.4
F2FH1829,56856,ITS4-Fun_2_rev,100.0,19,0,0,28,10,28,27,3,21,3.06e-07,35.6
F2FH1829,56856,ITS4ngs_2_rev,95.0,20,1,0,28,9,28,20,1,20,1.07e-06,34.6
F2FH1833,33405,ITS4_2_rev,100.0,20,0,0,28,9,28,20,1,20,8.77e-08,37.4
F2FH1833,33405,ITS4-Fun_2_rev,100.0,19,0,0,28,10,28,27,3,21,3.06e-07,35.6
F2FH1833,33405,ITS4ngs_2_rev,95.0,20,1,0,28,9,28,20,1,20,1.07e-06,34.6
F2FH1835,49491,ITS4-Fun_2_rev,96.0,25,1,0,63,7,31,27,3,27,5.2e-09,43.7
F2FH1835,49491,ITS4_2_rev,100.0,20,0,0,63,6,25,20,1,20,2.21e-07,37.4
F2FH1835,49491,ITS4ngs_2_rev,95.0,20,1,0,63,6,25,20,1,20,2.69e-06,34.6
F2FH1840,68701,ITS4_2_rev,100.0,20,0,0,26,7,26,20,1,20,7.85e-08,37.4
F2FH1840,68701,ITS4-Fun_2_rev,100.0,19,0,0,26,8,26,27,3,21,2.74e-07,35.6
F2FH1840,68701,ITS4ngs_2_rev,95.0,20,1,0,26,7,26,20,1,20,9.56e-07,34.6
F2FH1851,45603,ITS4-Fun_2_rev,100.0,23,0,0,100,8,30,27,3,25,8.83e-09,42.8
F2FH1851,45603,ITS4_2_rev,100.0,20,0,0,100,7,26,20,1,20,3.76e-07,37.4
F2FH1851,45603,ITS4ngs_2_rev,95.0,20,1,0,100,7,26,20,1,20,4.58e-06,34.6
F2FH1854,48644,ITS4-Fun_2_rev,100.0,23,0,0,69,9,31,27,3,25,5.79e-09,42.8
F2FH1854,48644,ITS4_2_rev,100.0,20,0,0,69,8,27,20,1,20,2.46e-07,37.4
F2FH1854,48644,ITS4ngs_2_rev,95.0,20,1,0,69,8,27,20,1,20,3e-06,34.6
F2FH1858,68274,ITS4-Fun_2_rev,96.0,25,1,0,100,10,34,27,3,27,8.83e-09,43.7
F2FH1858,68274,ITS4_2_rev,100.0,20,0,0,100,9,28,20,1,20,3.76e-07,37.4
F2FH1858,68274,ITS4ngs_2_rev,95.0,20,1,0,100,9,28,20,1,20,4.58e-06,34.6
F2FH1863,44559,ITS4-Fun_2_rev,96.0,25,1,0,100,8,32,27,3,27,8.83e-09,43.7
F2FH1863,44559,ITS4_2_rev,100.0,20,0,0,100,7,26,20,1,20,3.76e-07,37.4
F2FH1863,44559,ITS4ngs_2_rev,95.0,20,1,0,100,7,26,20,1,20,4.58e-06,34.6
F2FH1863,44559,LR0B_2_rev,94.737,19,1,0,100,39,57,19,1,19,5.57e-05,31.0
F2FH1865,42200,ITS4-Fun_2_rev,100.0,23,0,0,100,8,30,27,3,25,8.83e-09,42.8
F2FH1865,42200,ITS4_2_rev,100.0,20,0,0,100,7,26,20,1,20,3.76e-07,37.4
F2FH1865,42200,ITS4ngs_2_rev,95.0,20,1,0,100,7,26,20,1,20,4.58e-06,34.6
F2FH1870,51831,ITS4-Fun_2_rev,100.0,23,0,0,61,7,29,27,3,25,5.01e-09,42.8
F2FH1870,51831,ITS4_2_rev,100.0,20,0,0,61,6,25,20,1,20,2.13e-07,37.4
F2FH1870,51831,ITS4ngs_2_rev,95.0,20,1,0,61,6,25,20,1,20,2.59e-06,34.6
F2FH1873,41768,ITS4-Fun_2_rev,100.0,23,0,0,100,8,30,27,3,25,8.83e-09,42.8
F2FH1873,41768,ITS4_2_rev,100.0,20,0,0,100,7,26,20,1,20,3.76e-07,37.4
F2FH1873,41768,ITS4ngs_2_rev,95.0,20,1,0,100,7,26,20,1,20,4.58e-06,34.6
F2FH1876,69388,ITS4_2_rev,100.0,20,0,0,27,8,27,20,1,20,8.31e-08,37.4
F2FH1876,69388,ITS4-Fun_2_rev,100.0,19,0,0,27,9,27,27,3,21,2.9e-07,35.6
F2FH1876,69388,ITS4ngs_2_rev,95.0,20,1,0,27,8,27,20,1,20,1.01e-06,34.6
F2FH1877,52386,ITS4-Fun_2_rev,100.0,23,0,0,100,10,32,27,3,25,8.83e-09,42.8
F2FH1877,52386,ITS4_2_rev,100.0,20,0,0,100,9,28,20,1,20,3.76e-07,37.4
F2FH1877,52386,ITS4ngs_2_rev,95.0,20,1,0,100,9,28,20,1,20,4.58e-06,34.6
F2FH1879,50759,ITS4-Fun_2_rev,100.0,23,0,0,68,9,31,27,3,25,5.69e-09,42.8
F2FH1879,50759,ITS4_2_rev,100.0,20,0,0,68,8,27,20,1,20,2.42e-07,37.4
F2FH1879,50759,ITS4ngs_2_rev,95.0,20,1,0,68,8,27,20,1,20,2.95e-06,34.6
F2FH1881,70265,ITS4_2_rev,100.0,20,0,0,25,6,25,20,1,20,8.61e-08,37.4
F2FH1881,70265,ITS4-Fun_2_rev,100.0,19,0,0,25,7,25,27,3,21,3e-07,35.6
F2FH1881,70265,ITS4ngs_2_rev,95.0,20,1,0,25,6,25,20,1,20,1.05e-06,34.6
F2FH1882,49590,ITS4-Fun_2_rev,96.0,25,1,0,61,7,31,27,3,27,5.01e-09,43.7
F2FH1882,49590,ITS4_2_rev,100.0,20,0,0,61,6,25,20,1,20,2.13e-07,37.4
F2FH1882,49590,ITS4ngs_2_rev,95.0,20,1,0,61,6,25,20,1,20,2.59e-06,34.6
F2FH1883,40585,ITS4_2_rev,100.0,20,0,0,26,7,26,20,1,20,7.85e-08,37.4
